block,m2,Rp,C1
1,0.11185329196345538,0.0,1.351077427e6
2,0.12160285372744374,0.134,1.415489177e6
3,0.12531581111479476,0.147,1.433319158e6
4,0.11180262792688654,-0.047,1.349262985e6
5,0.12202542259511415,0.088,1.416784875e6
6,0.11589043539630052,0.005,1.368709803e6
7,0.12477120282586907,0.13,1.427399861e6
8,0.10665305010664679,-0.15,1.308370273e6
9,0.12343585868602236,0.177,1.431785125e6
10,0.11029110461638653,-0.086,1.343719454e6
11,0.1134610042697218,-0.048,1.355326405e6
12,0.11720800058357872,0.03,1.390919787e6
13,0.10989999471784517,-0.062,1.33364551e6
14,0.12059493912504331,0.073,1.412526652e6
15,0.11983073465127109,0.052,1.402789533e6
16,0.10690984153474892,-0.16,1.320652306e6
17,0.11884302393715643,0.117,1.407026061e6
18,0.11489590215850694,0.022,1.366417871e6
19,0.10746021005281772,-0.179,1.307910282e6
20,0.11529616374452713,-0.03,1.368697256e6
