block,m2,Rp,C1
1,0.3146374966710806,0.6166,9071.7888
2,0.3094437158852816,0.5918,9002.5438
3,0.3145780833184719,0.6028,9068.8882
4,0.3134407508134842,0.5722,9045.8864
5,0.31313991239368916,0.5972,9043.9526
6,0.30785564930140974,0.5668,8959.4238
7,0.3120240158647299,0.5932,9026.6834
8,0.30979112461209296,0.6072,8998.061
9,0.31415353290736675,0.6236,9073.7506
10,0.31532628953158853,0.6188,9093.7894
11,0.307524384868145,0.5788,8973.4632
12,0.312184737983346,0.6102,9031.1928
13,0.31408168915510176,0.5954,9050.3416
14,0.3112675699144602,0.5772,9006.6264
15,0.314025404676795,0.6182,9075.4852
16,0.3204701533704996,0.627,9149.9104
17,0.317845042181015,0.6424,9127.8322
18,0.31114537677168846,0.5954,9016.8534
19,0.3052378458678722,0.5336,8906.9872
20,0.30998614493608473,0.5852,8992.803
