block,m2,m4,R0,R2,C1
1,0.3900231775760651,0.17715634116640464,0.2229,0.4836,2467.4574
2,0.3781516877889633,0.1676284302319552,0.238,0.4666,2426.5748
3,0.3844652966976166,0.1726255050604213,0.2329,0.4822,2443.3028
4,0.39089472830295563,0.17761024087041924,0.217,0.4874,2467.7332
5,0.3834240604877472,0.17131922741529587,0.2242,0.4734,2443.6539
6,0.3837847097158432,0.17155946881554712,0.2234,0.4705,2448.9884
7,0.37867290098667145,0.16960632317425534,0.2429,0.4606,2425.848
8,0.3796675581693649,0.16910179232116,0.2352,0.4672,2430.9036
9,0.38440299062728883,0.17331035950500764,0.2265,0.475,2439.8082
10,0.3894355186700821,0.17623299248268903,0.2159,0.4883,2469.6331
11,0.37897872281074524,0.1694475536077589,0.2418,0.4652,2421.9511
12,0.3873704396009445,0.1755600173474772,0.2231,0.4789,2455.345
13,0.3823376480102539,0.17069453271231586,0.2349,0.4771,2440.4388
14,0.38773487334251405,0.17505749271110627,0.2283,0.49,2458.3054
15,0.3898634328365326,0.17613920090814936,0.2177,0.4846,2472.2851
16,0.3770120709180832,0.1681346360668128,0.2431,0.4638,2419.879
17,0.38262791450023653,0.1712785246176534,0.2305,0.4737,2439.4087
18,0.3790747077226639,0.1689930820065958,0.2442,0.4634,2425.2051
19,0.3864965113162994,0.17376416673351963,0.2272,0.4786,2456.6094
20,0.381465122461319,0.1712959359868271,0.2328,0.471,2434.3016
21,0.3805217147111893,0.1704626846520298,0.2336,0.4691,2435.7865
22,0.3872597016811371,0.17502906772794877,0.22,0.4878,2460.658
23,0.38944795083999634,0.1758259138673416,0.2212,0.4846,2467.1909
24,0.3815365848779678,0.17093411342898754,0.2323,0.4747,2439.482
25,0.38590917320251467,0.17455199698994428,0.228,0.4841,2450.5791
26,0.38981371150016786,0.17654246249938424,0.222,0.4874,2467.7814
27,0.39208746089935304,0.17693783671120622,0.2139,0.4893,2475.3684
28,0.3852410253763199,0.17359324762363526,0.2277,0.4743,2450.6582
29,0.387616389131546,0.17514113562548764,0.2282,0.4747,2458.2026
30,0.3835836560726166,0.1730506694771147,0.2247,0.4813,2445.9018
31,0.3779282197237015,0.1703667264332663,0.2422,0.4706,2422.2764
32,0.3821708647251129,0.17089541620172508,0.2358,0.4738,2438.5129
