block,m2,Rp,C1
1,0.22334132189750672,-0.4936,1807.6822
2,0.23914693570137024,-0.4034,1870.5656
3,0.23856770782470704,-0.3808,1876.9258
4,0.23069769887924194,-0.455,1837.1982
5,0.24077494587898254,-0.3844,1879.9496
6,0.23699273996353148,-0.4038,1855.8656
7,0.22575582695007324,-0.5098,1814.2068
8,0.22689448261260986,-0.4882,1825.8178
9,0.22984495162963867,-0.4744,1834.2486
10,0.2404373592376709,-0.3904,1880.3062
11,0.23164893264770509,-0.4218,1846.9442
12,0.2354637363433838,-0.4048,1855.768
13,0.23647984318733214,-0.41,1859.2914
14,0.24013908414840698,-0.3886,1877.7044
15,0.23724437446594238,-0.3878,1872.4794
16,0.2375709837436676,-0.4026,1864.271
17,0.23434032182693482,-0.3934,1858.4192
18,0.23553259191513062,-0.3928,1858.8238
19,0.23481889958381652,-0.43,1859.7066
20,0.23244082798957824,-0.441,1847.0318
