block,m2,Rp,C1
1,0.006462503432447557,-1.976,14514.637
2,0.006422892692068126,-1.966,14251.3428
3,0.006894015930837486,-1.9566,14650.588
4,0.006463005731825251,-1.9668,14392.0604
5,0.006114013673528098,-1.9738,13942.1116
6,0.006756243799661752,-1.9676,14440.2666
7,0.006257732612767722,-1.9754,14087.415
8,0.006555663818947505,-1.9714,14458.4276
9,0.006468712399725337,-1.9654,14376.17
10,0.006319388185103889,-1.97,14275.8504
11,0.006265493575576693,-1.9762,14104.8708
12,0.006482788032479584,-1.9608,14559.1796
13,0.006623064994625747,-1.9606,14476.0888
14,0.0061204000183497555,-1.9756,14015.0694
15,0.0067083979336544875,-1.9608,14598.4266
16,0.006279310643754434,-1.9716,14071.9508
17,0.006545522864104715,-1.966,14330.2498
18,0.006234666246024426,-1.9706,14372.9012
19,0.006112207376281731,-1.9734,13803.7238
20,0.006236338670481928,-1.9718,14201.4286
