block,m2,m4,R0,R2,C1
1,0.33227034881711004,0.1275052062373611,0.2115,0.4928,9098.4047
2,0.32438680797666314,0.12234095088850204,0.2276,0.4751,9010.1493
3,0.32557273396253583,0.1233896066721892,0.2275,0.4829,9016.6414
4,0.3207077105179429,0.12110310646966323,0.2366,0.4741,8921.8271
5,0.32390237179249526,0.12241710467383546,0.23,0.4781,8978.7058
6,0.33233866079300645,0.1275334091995917,0.2068,0.4955,9118.0471
7,0.3216904877126217,0.12121944334046034,0.229,0.4708,8958.6333
8,0.32935322515517473,0.12504136952247127,0.2167,0.4855,9087.6537
9,0.3246347982600331,0.12245359727369623,0.2269,0.4827,8997.7449
10,0.319278313049674,0.11981250736056542,0.2365,0.4723,8931.346
11,0.3178741568520665,0.1195062318639038,0.2401,0.4605,8891.3862
12,0.3204526958912611,0.12071552266730426,0.238,0.4677,8932.6486
13,0.32060888357907535,0.12001673507862681,0.2268,0.4803,8940.8065
14,0.3207979368045926,0.12139833032595364,0.2386,0.4683,8919.375
15,0.32561016695201395,0.12407992275818983,0.2234,0.4782,9012.0733
16,0.324098883125186,0.12262178503023731,0.2218,0.4817,9002.6549
17,0.3281967018172145,0.12432289390584944,0.2178,0.4864,9045.9613
18,0.33093002168089153,0.12655288335998827,0.2099,0.5005,9122.0329
19,0.3244804462060332,0.12315265598043579,0.227,0.4762,8994.1469
20,0.32906125732660296,0.1252450795222603,0.2186,0.4875,9060.1304
21,0.321870810893178,0.1212734813299542,0.2292,0.4729,8951.4038
22,0.3242332370236516,0.12316618409120463,0.2273,0.4863,8998.5683
23,0.33013393834233284,0.12693687938630505,0.2228,0.4897,9070.5623
24,0.32457518361508847,0.12247570284287843,0.2272,0.4776,8995.023
25,0.31959304062873123,0.12017380495782182,0.2376,0.4694,8904.519
26,0.3204540279045701,0.12019709192608084,0.234,0.4677,8938.8601
27,0.31628483912199734,0.11869138175994076,0.2461,0.4576,8877.9114
28,0.3246685670495033,0.12327513906059617,0.2268,0.4829,8991.2794
29,0.3277349078401923,0.12547613270258834,0.2216,0.4923,9032.0384
30,0.33188498110175135,0.1276071406578936,0.2143,0.5045,9113.5741
31,0.31632555660158396,0.11870698087005727,0.2449,0.4613,8856.2632
32,0.3256086184248328,0.12367173080643165,0.2228,0.4852,8994.1401
33,0.31864796157926323,0.12004639802791205,0.2439,0.4646,8888.2015
34,0.33252473986446857,0.1279426001542856,0.2146,0.4992,9107.1668
35,0.3292571397393942,0.1262382054929618,0.2222,0.4955,9053.0291
36,0.325901314227283,0.12288485960895075,0.2233,0.4768,9021.1386
37,0.32495031561255455,0.12345670140511363,0.2286,0.475,9001.2124
38,0.32006414415985346,0.11999853486083088,0.2351,0.4674,8941.3852
39,0.32450072861611845,0.12319895297726312,0.2288,0.4829,8982.3902
40,0.323142727124691,0.12163414896529334,0.2211,0.4741,8985.4719
41,0.3194556112214923,0.1206301157629084,0.2432,0.4736,8913.5454
42,0.3203100248575211,0.12099254186105968,0.2346,0.4723,8940.0393
43,0.3276454813838005,0.12429641448203761,0.2206,0.4839,9041.1649
44,0.32238075454235077,0.12214280961397646,0.2328,0.4739,8941.5383
45,0.3195259146168828,0.12061712061457122,0.2395,0.4666,8886.1247
46,0.32706169349700215,0.1242495372665976,0.2197,0.4919,9042.8324
47,0.32897552392333745,0.12548143275254053,0.2167,0.4837,9052.2099
48,0.32592477854788304,0.12370154158479968,0.2297,0.4821,9033.2327
49,0.32195300356596707,0.12145452258958984,0.2281,0.4787,8967.7622
50,0.3285356023445725,0.12525060012542102,0.2172,0.4884,9062.2273
51,0.3256412102043629,0.12371956757463724,0.2212,0.4827,9013.0833
52,0.32914463804960253,0.12586653602013412,0.216,0.4874,9077.8444
53,0.32461938963383435,0.123054771133848,0.2272,0.48,9014.9012
54,0.330229708597064,0.12644620342321508,0.2224,0.4866,9067.353
55,0.3198019588112831,0.1200002356115875,0.2327,0.4779,8930.0782
56,0.32522073214799163,0.12339070933573919,0.2243,0.4835,9008.2947
57,0.3286240261092782,0.12596828500896973,0.2222,0.494,9039.2321
58,0.3248601819396019,0.12337396565496983,0.2281,0.4855,8998.1541
59,0.3334107529208064,0.12801755185536287,0.2151,0.4948,9143.0702
60,0.3184005100876093,0.11882211314731589,0.2358,0.4714,8901.9347
61,0.3267157465875149,0.12437991701231776,0.222,0.4928,9020.4381
62,0.3261514822661877,0.12363061955789194,0.2175,0.4876,9024.5421
63,0.3274615441814065,0.12497463944261027,0.2175,0.4823,9032.3414
64,0.3240628858461976,0.12261018850341283,0.2216,0.4794,8996.2783
65,0.3213989367827773,0.12106688651477183,0.2342,0.4667,8943.829
66,0.3287446175143123,0.1251690885352662,0.2194,0.4901,9056.8863
67,0.32474385888576507,0.12258657441165198,0.2238,0.4877,9007.2456
68,0.3247698496982455,0.12267698654557462,0.229,0.4806,9011.2383
69,0.3265638492837548,0.1239972162975303,0.2148,0.4846,9043.1759
70,0.32432377976030113,0.12261017600487253,0.2237,0.486,9006.4022
71,0.32379687519967554,0.12271211855708646,0.2294,0.479,8977.9921
72,0.32687622213512657,0.12406719776767654,0.2186,0.4883,9049.4122
73,0.3278078823149204,0.1250028102890011,0.2169,0.4915,9060.725
74,0.32588861258924007,0.1237086149211708,0.2222,0.4779,9016.6336
