block,m2,Rp,C1
1,0.059235916759601985,-0.22285714285714286,544781.0205714286
2,0.06045182966731852,-0.19542857142857142,553228.388
3,0.06011687195644471,-0.1777142857142857,548544.9422857143
4,0.06385075681768909,-0.061714285714285715,567159.9497142857
5,0.0615580343853036,-0.13885714285714285,556209.4794285714
6,0.05991511477348297,-0.19257142857142856,547552.312
7,0.058822247511182875,-0.2634285714285714,537851.1622857143
8,0.05652678007730801,-0.308,525942.2314285714
9,0.05683959660495301,-0.27485714285714286,532981.9748571429
10,0.05564496052309968,-0.2662857142857143,522321.81314285717
11,0.06551801179986197,-0.024,578804.2634285714
12,0.056683664701080334,-0.29942857142857143,529820.4485714285
13,0.05859250938656578,-0.232,542942.1834285714
14,0.05971361620395898,-0.2102857142857143,546362.5022857143
15,0.06500956535726955,-0.028,575506.1788571428
16,0.05837572039435807,-0.19485714285714287,541912.3074285714
17,0.06068048386998365,-0.17257142857142857,553831.6902857143
18,0.0590215090112962,-0.2422857142857143,542030.3634285714
19,0.05487442689393015,-0.38457142857142856,518174.61485714285
20,0.05888886480584719,-0.20914285714285713,546519.2965714285
