n_particles,energy,sector_gap,ground_multiplicity,residual,q_a_sq,q_b_sq,q_cross,channel_balance,commutator_sq,nematic_sq,bond_sq,mode,variant,m,t,g_a,g_b_over_g_a,v_asymmetry,mu,grand_energy,density,charge_gap,fidelity_previous_g
8,-5.000000000000008,0.5000000000000053,5,8.42240960127541e-15,1.1505067724924984,0.1957911022923134,2.972439650333423e-15,-0.7048704160304495,0.0117187499999998,0.03161783544453865,2.6925957495696293,m4,noncommuting,4,0.0,1.0,0.0,0.0,0.0,-5.000000000000008,0.5,nan,nan
8,-5.211269700960641,0.0002001359953469617,2,1.7442843800871464e-11,1.1493655719502944,0.2455755284047939,2.8051267836837346e-14,-0.6278461989973354,0.008963286483517807,0.030577251498690936,2.789882200710233,m4,noncommuting,4,0.0,1.0,0.25,0.0,0.0,-5.211269700960641,0.5,nan,0.372300809077651
8,-5.485788339624221,0.005171697776134465,2,1.0179600155331355e-14,0.9504988774217981,0.34096404813402803,-1.2483335618210614e-14,-0.47111903956809603,0.005931191808756268,0.0368446730327333,2.5829258511116273,m4,noncommuting,4,0.0,1.0,0.5,0.0,0.0,-5.485788339624221,0.5,nan,0.39662536968139894
8,-6.5000000000000036,0.2499999999999929,3,1.547624580717803e-14,0.8612983783791156,0.7637016216208853,-9.546104087332005e-16,-0.06005954262044938,2.005997219703821e-31,0.030641889927437466,3.2499999999999996,m4,noncommuting,4,0.0,1.0,1.0,0.0,0.0,-6.5000000000000036,0.5,nan,0.3133697514656838
8,-10.971576679248445,0.010343395552283141,2,5.728082770570651e-14,0.30093970491949407,1.3942764236421794,-2.806902532953916e-13,0.642766567271835,0.00593119180875617,0.0360994749087572,3.390432257122786,m4,noncommuting,4,0.0,1.0,2.0,0.0,0.0,-10.971576679248445,0.5,nan,0.3905581151771948
8,-7.40365675104864,0.15365675104862042,3,1.0644281228163335e-14,1.9999999999999982,0.39981808414032205,1.5830729853005927,-0.6667930067011327,0.009191305833140944,0.031249999999999972,7.965782138881823,m4,noncommuting,4,0.25,1.0,0.0,0.0,0.0,-7.40365675104864,0.5,nan,nan
8,-7.746891327928494,0.30183061509024434,2,1.058267696885521e-14,1.9968585029225743,0.43897280736151656,1.74382111536791,-0.6395704369935871,0.008477359416566754,0.03149940509391112,8.359304851304001,m4,noncommuting,4,0.25,1.0,0.25,0.0,0.0,-7.746891327928494,0.5,nan,0.5235940080999577
8,-8.12376336203289,0.4647247358851576,4,1.8144838659076628e-14,1.983977654984281,0.46052631578919034,1.8254289013912384,-0.6232149169768179,0.007745624943352152,0.03181865297758746,8.53986574432942,m4,noncommuting,4,0.25,1.0,0.5,0.0,0.0,-8.12376336203289,0.5,nan,0.8025390866657861
8,-8.99993359137794,0.5078565082394153,4,7.262838645630415e-10,1.1542330344987026,1.2002247650808069,1.8323475180748676,0.019533894636196376,0.005775327888359671,0.03314866227195616,8.373610635308752,m4,noncommuting,4,0.25,1.0,1.0,0.0,0.0,-8.99993359137794,0.5,nan,0.5628457303331807
8,-13.403852064613039,0.42148783666628553,3,2.0735191551818392e-14,0.39285714285714324,1.9771787739181974,1.5001757998737253,0.6684800090357594,0.00674369821583192,0.03189259962533674,7.740423433298133,m4,noncommuting,4,0.25,1.0,2.0,0.0,0.0,-13.403852064613039,0.5,nan,0.40022803780684846
8,-10.310960738569518,0.617960270404815,4,2.973689296613696e-14,1.9999999999999993,0.48094002902089766,1.9228933020837782,-0.612292096225558,0.0101570703980077,0.03124999999999994,8.807666662209352,m4,noncommuting,4,0.5,1.0,0.0,0.0,0.0,-10.310960738569518,0.5,nan,nan
8,-10.683601478831909,0.7971814175547802,4,7.84216588213622e-14,1.998076175314472,0.4856259274767444,1.9406007703585442,-0.6089499405496401,0.009613033083372906,0.03144631256386554,8.84860574629952,m4,noncommuting,4,0.5,1.0,0.25,0.0,0.0,-10.683601478831909,0.5,nan,0.7953306741673164
8,-11.0722224513993,0.9783377248034437,3,7.765426281663264e-14,1.9907797276082413,0.488805970149061,1.9486744130993958,-0.6057357722371371,0.008978931864224065,0.03166000535541124,8.856520221713398,m4,noncommuting,4,0.5,1.0,0.5,0.0,0.0,-11.0722224513993,0.5,nan,0.9744689280872042
8,-11.916256543432993,0.5082892284601428,5,5.99359781801318e-14,1.261002223727298,1.1738705422179614,1.9314303530264945,-0.03578490125973566,0.007421860118522311,0.030636580462738244,8.732606237943507,m4,noncommuting,4,0.5,1.0,1.0,0.0,0.0,-11.916256543432993,0.5,nan,0.5721986804344249
8,-16.24752672406576,0.9294494717702992,4,4.4471181605404685e-13,0.46052631578761677,1.9839776549842758,1.825428901384409,0.623214916977862,0.007745624943323062,0.031772496071009224,8.539865744312602,m4,noncommuting,4,0.5,1.0,2.0,0.0,0.0,-16.24752672406576,0.5,nan,0.539891793025136
8,-16.276671471524057,1.573506776268573,3,2.066922327062242e-14,1.9999999999999982,0.4962346532892064,1.9848947807559192,-0.6024134568957011,0.010947637240771663,0.031249999999999986,8.962258868090247,m4,noncommuting,4,1.0,1.0,0.0,0.0,0.0,-16.276671471524057,0.5,nan,nan
