block,m2,m4,R0,R2,C1
1,0.32489685528576373,0.12344861154603311,0.226,0.4756,8997.5362
2,0.3209898985788226,0.1205222281342591,0.2279,0.4683,8952.1291
3,0.3266710788011551,0.12472721001159011,0.2249,0.4864,9024.007
4,0.3229808412402868,0.12229819785914606,0.2339,0.477,8965.5234
5,0.3179737748250365,0.11963540410837327,0.2324,0.4699,8897.0409
6,0.3203230500161648,0.1205386128902755,0.243,0.4596,8907.6231
7,0.32824049624800683,0.1252223721184062,0.2187,0.4855,9071.5139
8,0.32395050366818906,0.12281074994483601,0.2311,0.4819,8981.0912
9,0.3261313728228211,0.12416477446312242,0.2203,0.493,9041.3727
10,0.32055959399193523,0.12044407865389667,0.2319,0.4686,8948.8675
11,0.3226434604123235,0.12201738465106618,0.2371,0.4731,8946.2508
12,0.32261747847646477,0.12223253072590351,0.229,0.4858,8974.1317
13,0.3226444608747959,0.1215841629022228,0.2304,0.4746,8968.884
14,0.3204521569624543,0.12031294904791448,0.2377,0.4627,8936.5339
15,0.32350502352118493,0.12290845631703719,0.226,0.4836,8978.3673
16,0.3235818709298968,0.12267780553039,0.2257,0.4741,8974.7867
17,0.32652207354456186,0.124339729780386,0.2244,0.4881,9023.0326
18,0.3195835740596056,0.12013354161796223,0.2347,0.4697,8902.5337
19,0.3278268971681595,0.12503427533251,0.2152,0.4939,9043.9558
20,0.3279418500944972,0.12522219197968354,0.2188,0.4981,9044.0017
21,0.32288895232081416,0.12161761454848181,0.2253,0.4767,8970.4636
22,0.32312849840819835,0.12230163079480644,0.2281,0.4725,8977.2326
23,0.3268995859846473,0.12336624651002183,0.2176,0.4815,9042.1805
24,0.31835977554768324,0.12022735832152369,0.2424,0.4696,8879.2007
25,0.3198632274463773,0.12033959236261005,0.2358,0.4645,8899.6727
26,0.317553749935329,0.11846189693991419,0.2343,0.4642,8895.4029
27,0.3205244454011321,0.12068576453704916,0.23,0.4725,8929.7022
28,0.3198417587757111,0.12039848785403619,0.233,0.4714,8911.7036
29,0.3311404947817326,0.12699871751716063,0.2068,0.498,9109.392
