distance,exact,compact,absolute_error,relative_error
1,1.0000819466766917,1.0000819153628597,3.131383197185755e-08,3.13112661176562e-08
2,0.17685884874978275,0.17685881741697476,3.133280798706117e-08,1.771627951247741e-07
3,0.06423252932671622,0.06423249808537948,3.124133673981788e-08,4.863787409166166e-07
4,0.031332986588442,0.031332954962519345,3.1625922651545846e-08,1.0093491267510359e-06
5,0.0179721616510778,0.017972131123659564,3.052741823564298e-08,1.6985946837292236e-06
6,0.011424627174583635,0.01142459463082401,3.254375962463696e-08,2.8485620692320752e-06
7,0.007798889081647095,0.007798858509543103,3.05721039924739e-08,3.920058827919269e-06
8,0.00561068977143338,0.005610659013435729,3.075799765144688e-08,5.482034991143172e-06
9,0.00420289881732317,0.004202866579369965,3.223795320538708e-08,7.67040906921463e-06
10,0.0032513772018308955,0.0032513456121624016,3.158966849388378e-08,9.715780893122829e-06
11,0.0025825375832026153,0.0025825067727907906,3.081041182470892e-08,1.1930285942441467e-05
12,0.002097197573768563,0.0020971666365383955,3.09372301674285e-08,1.4751700342584217e-05
13,0.0017356388468596608,0.0017356074326549962,3.141420466465372e-08,1.80995053904747e-05
14,0.0014603142334081833,0.0014602825900430292,3.164336515406631e-08,2.1668874020500925e-05
15,0.001246742585938044,0.0012467110416661572,3.1544271886837366e-08,2.5301351090933968e-05
16,0.0010784605206362798,0.0010784291991824562,3.132145382357503e-08,2.9042744935248734e-05
17,0.0009440981336669361,0.0009440669694611261,3.1164205810028066e-08,3.300949837596262e-05
18,0.0008356201203441221,0.0008355889844082777,3.11359358443411e-08,3.726087379456446e-05
19,0.0007472327323247842,0.0007472015294945495,3.1202830234650265e-08,4.175784716706973e-05
20,0.0006746848104760533,0.0006746535110756346,3.1299400418682843e-08,4.639114432796877e-05
21,0.0006148094111513461,0.0006147780367403571,3.137441098892066e-08,5.1031116993095767e-05
22,0.0005652164353785283,0.0005651850289900994,3.140638842882241e-08,5.556524273359e-05
23,0.0005240824114068115,0.0005240510125585856,3.13988482259853e-08,5.9912043492740664e-05
24,0.0004900042076377259,0.0004899728394736313,3.1368164094534336e-08,6.401611171005641e-05
25,0.00046189569520219646,0.0004618643626948612,3.133250733525087e-08,6.783459482456305e-05
26,0.0004389138326141683,0.000438882527441999,3.130517216927333e-08,7.132418676080429e-05
27,0.00042040528980194936,0.0004203739975077492,3.129229420018292e-08,7.443363573023676e-05
28,0.0004058676876743523,0.00040583639410323206,3.1293571120267344e-08,7.710288862752662e-05
29,0.0003949214546933448,0.00039489015025804034,3.130443530443986e-08,7.926749720079819e-05
30,0.00038728958233307436,0.0003872582638087389,3.1318524335488453e-08,8.086590955228456e-05
31,0.00038278343384672345,0.00038275210404735237,3.1329799371081126e-08,8.184732305741947e-05
32,0.0003812933736919442,0.000381262039635698,3.133405624620696e-08,8.217833932651155e-05
33,0.00038278343384672345,0.00038275210404735237,3.1329799371081126e-08,8.184732305741947e-05
34,0.00038728958233307436,0.0003872582638087389,3.1318524335488453e-08,8.086590955228456e-05
35,0.0003949214546933448,0.00039489015025804034,3.130443530443986e-08,7.926749720079819e-05
36,0.0004058676876743523,0.00040583639410323206,3.1293571120267344e-08,7.710288862752662e-05
37,0.00042040528980194936,0.0004203739975077492,3.129229420018292e-08,7.443363573023676e-05
38,0.0004389138326141683,0.000438882527441999,3.130517216927333e-08,7.132418676080429e-05
39,0.00046189569520219646,0.0004618643626948612,3.133250733525087e-08,6.783459482456305e-05
40,0.0004900042076377259,0.0004899728394736313,3.1368164094534336e-08,6.401611171005641e-05
41,0.0005240824114068115,0.0005240510125585856,3.13988482259853e-08,5.9912043492740664e-05
42,0.0005652164353785283,0.0005651850289900994,3.140638842882241e-08,5.556524273359e-05
43,0.0006148094111513461,0.0006147780367403571,3.137441098892066e-08,5.1031116993095767e-05
44,0.0006746848104760533,0.0006746535110756346,3.1299400418682843e-08,4.639114432796877e-05
45,0.0007472327323247842,0.0007472015294945495,3.1202830234650265e-08,4.175784716706973e-05
46,0.0008356201203441221,0.0008355889844082777,3.11359358443411e-08,3.726087379456446e-05
47,0.0009440981336669361,0.0009440669694611261,3.1164205810028066e-08,3.300949837596262e-05
48,0.0010784605206362798,0.0010784291991824562,3.132145382357503e-08,2.9042744935248734e-05
49,0.001246742585938044,0.0012467110416661572,3.1544271886837366e-08,2.5301351090933968e-05
50,0.0014603142334081833,0.0014602825900430292,3.164336515406631e-08,2.1668874020500925e-05
51,0.0017356388468596608,0.0017356074326549962,3.141420466465372e-08,1.80995053904747e-05
52,0.002097197573768563,0.0020971666365383955,3.09372301674285e-08,1.4751700342584217e-05
53,0.0025825375832026153,0.0025825067727907906,3.081041182470892e-08,1.1930285942441467e-05
54,0.0032513772018308955,0.0032513456121624016,3.158966849388378e-08,9.715780893122829e-06
55,0.00420289881732317,0.004202866579369965,3.223795320538708e-08,7.67040906921463e-06
56,0.00561068977143338,0.005610659013435729,3.075799765144688e-08,5.482034991143172e-06
57,0.007798889081647095,0.007798858509543103,3.05721039924739e-08,3.920058827919269e-06
58,0.011424627174583635,0.01142459463082401,3.254375962463696e-08,2.8485620692320752e-06
59,0.0179721616510778,0.017972131123659564,3.052741823564298e-08,1.6985946837292236e-06
60,0.031332986588442,0.031332954962519345,3.1625922651545846e-08,1.0093491267510359e-06
61,0.06423252932671622,0.06423249808537948,3.124133673981788e-08,4.863787409166166e-07
62,0.17685884874978275,0.17685881741697473,3.133280801481675e-08,1.7716279528171043e-07
63,1.0000819466766917,1.0000819153628597,3.131383197185755e-08,3.13112661176562e-08
