block,m2,Rp,C1
1,0.31001952695082874,0.8868,36334.707
2,0.30597097812797874,0.8658,36099.8438
3,0.3075182860681787,0.866,36167.5768
4,0.30520329725965856,0.873,36050.0088
5,0.3059885293610394,0.8586,36055.7912
6,0.30232922419775277,0.8482,35837.038
7,0.3043779658246785,0.861,35979.1732
8,0.30776403075288983,0.8688,36181.889
9,0.30794737135134637,0.8718,36250.8568
10,0.3059601907067001,0.871,36095.4814
11,0.30993130463138224,0.8746,36317.9182
12,0.3087677733287215,0.8762,36245.4616
13,0.3035279174467549,0.8622,35971.2842
14,0.3070903626946732,0.8534,36122.8252
15,0.3028208024201915,0.8656,35909.44
16,0.31014039873071014,0.8848,36360.37
17,0.3025865681407973,0.8448,35864.3364
18,0.309303578385897,0.869,36264.8268
19,0.3026698013987392,0.8438,35891.1182
20,0.3040379421707243,0.8484,35990.4074
