block,m2,Rp,C1
1,0.2266024822421372,0.8674,31020.3894
2,0.22467942954283207,0.854,30879.476
3,0.2256064481874928,0.875,30980.7478
4,0.22407891465798022,0.8584,30876.148
5,0.22601554441880434,0.8758,31007.2844
6,0.22600549137499185,0.876,31011.526
7,0.22710345182921737,0.8766,31062.2374
8,0.22341702121216803,0.8758,30821.8724
9,0.22829129391796887,0.8694,31124.8004
10,0.22456252471543847,0.8574,30855.7564
11,0.22604182634428144,0.878,30998.2536
12,0.22798083389624954,0.8752,31119.207
13,0.222270067291148,0.8526,30734.6812
14,0.22499345832280815,0.8618,30880.7192
15,0.22373948910534383,0.8606,30860.8698
16,0.22794559306949377,0.8778,31136.133
17,0.22537906711716205,0.8666,30941.662
18,0.2271590513791889,0.869,31087.6246
19,0.2235457263449207,0.859,30802.8834
20,0.2267870601920411,0.8608,30963.691
