path	size_bytes	sha256	category	reason	referenced_by	reproducible	recommended_action	final_action
DMRG/.gitignore	58	7a83b24d2f0be5170f5299d1de08ad942a51b10a8ad3fecb06eed25c6608ae08	UNKNOWN	scientific, engineering, or audit value	inventory_scan	false	REVIEW	REVIEW
DMRG/.pytest_cache/.gitignore	37	3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd	CACHE	generated or empty	inventory_scan	true	DELETE	DELETE
DMRG/.pytest_cache/CACHEDIR.TAG	191	37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4	CACHE	generated or empty	inventory_scan	true	DELETE	DELETE
DMRG/.pytest_cache/README.md	302	73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad	CACHE	generated or empty	inventory_scan	true	DELETE	DELETE
DMRG/.pytest_cache/v/cache/lastfailed	1062	1c1aac9eccd18262e36b76562a18dc329e8d3b5cadc7e464d2f158fca44f3770	CACHE	generated or empty	inventory_scan	true	DELETE	DELETE
DMRG/.pytest_cache/v/cache/nodeids	83960	3734e18785f2dbd52ef74d73d92408c20adba1ed68c8201323bbd25d1415dd26	CACHE	generated or empty	inventory_scan	true	DELETE	DELETE
DMRG/1707.08683v1-1.pdf	421400	839cdc7bbcd599e2141a005ade76e7a43287c8aba3fe979f0bf0bb9e78135a94	UNKNOWN	scientific, engineering, or audit value	inventory_scan	false	REVIEW	REVIEW
DMRG/HARD_GOAL_DESIGN.md	46377	746df3548915d849fb64d7bb8668d4cc26be14567bf25213cb2857861cd820d3	DOCUMENTATION	scientific, engineering, or audit value	inventory_scan	false	KEEP	KEEP
DMRG/PLAN.md	10163	5a48c530cc914c2a0faf767f3911c9f5ecb50b5f5f50f22bd872d381887ca878	DOCUMENTATION	scientific, engineering, or audit value	inventory_scan	false	KEEP	KEEP
DMRG/PROJECT_STATUS_AND_ROADMAP.md	17117	79e8e3d0c4bb44a6681d1090f430cb8bf2cf629a731c8929c506ea5245a28ebb	DOCUMENTATION	scientific, engineering, or audit value	inventory_scan	false	KEEP	KEEP
DMRG/README.md	8073	832f950540bcca88946188e298ca1ce1bc64265e7944a11289481678fd225f2c	DOCUMENTATION	scientific, engineering, or audit value	inventory_scan	false	KEEP	KEEP
DMRG/__pycache__/reproduce.cpython-310.pyc	41341	40067464de02553c9fe68ed6b1a6c9d84f07dc12bb8c8cf6f8aa7ed950acbcdf	CACHE	generated or empty	inventory_scan	true	DELETE	DELETE
