block,m2,Rp,C1
1,0.09897129361331462,-0.5622,4734.1676
2,0.10026355616748334,-0.5224,4770.6778
3,0.09942002620995044,-0.535,4736.0306
4,0.09578910376131534,-0.5766,4650.7466
5,0.10692779706418515,-0.4364,4934.2214
6,0.10158060588538646,-0.5034,4809.4382
7,0.10565506257116794,-0.4366,4930.7288
8,0.09324486726522446,-0.6166,4564.492
9,0.10324530471265315,-0.4834,4853.9382
10,0.09931883822977543,-0.5272,4747.1476
11,0.103329031676054,-0.4568,4879.2358
12,0.10044983304440976,-0.514,4764.8534
13,0.10441188138723373,-0.4692,4857.1888
14,0.10066874203383923,-0.5344,4793.9684
15,0.09926599712967872,-0.5476,4729.6348
16,0.09430879827141762,-0.6164,4601.05
17,0.09958287272453308,-0.5422,4755.4348
18,0.09992284488976001,-0.543,4762.129
19,0.0988740064650774,-0.5254,4756.8198
20,0.10109109645485878,-0.5332,4774.85
