run_label,stage,Lx,Ly,boundary,J,h,beta,warmup_sweeps,measurement_sweeps,bin_size,replica,seed,energy_total,energy_total_error,max_expansion_order,cutoff,cutoff_touched,elapsed_seconds
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,1,202607301001,-3.8741712570194977,0.0025780680964953423,32,47,false,11.736138011
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,2,202607301002,-3.8722076416015625,0.002405914862378915,33,48,false,11.690891565
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,3,202607301003,-3.871586799621582,0.0025276288188333077,33,47,false,12.69500716
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,4,202607301004,-3.875667572021257,0.002494854856124368,33,47,false,11.844327243
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,5,202607301005,-3.8722195625309723,0.0023896426480315923,32,47,false,12.521321915
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,6,202607301006,-3.8678092956545242,0.0024579762796589073,32,47,false,11.660469889
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,7,202607301007,-3.873841285705794,0.0025728479832143334,33,47,false,12.598940518
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,8,202607301008,-3.87056493759178,0.0024933851136144784,35,47,false,12.008790459
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,9,202607301009,-3.8722834587090347,0.0025360738524684984,31,47,false,12.227126692
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,10,202607301010,-3.8751235008246567,0.002466496688159809,31,48,false,12.352134125
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,11,202607301011,-3.873256683349382,0.0025923278151248046,35,47,false,12.325856465
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,12,202607301012,-3.874759197235335,0.002401622707767387,33,47,false,11.460007397
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,13,202607301013,-3.8714046478271484,0.0024275743293670935,33,47,false,12.670503922
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,14,202607301014,-3.8748464584350586,0.0025873827141019413,34,47,false,12.395733532
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,15,202607301015,-3.8738427162174958,0.0024793898083969933,33,47,false,12.576090907
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,16,202607301016,-3.874612331390381,0.002565622699748536,34,47,false,11.992247257
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,17,202607301017,-3.871064662933577,0.002476432348006741,32,47,false,12.748786837
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,18,202607301018,-3.870882511138916,0.0024809542650071925,32,47,false,11.741404326
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,19,202607301019,-3.8737273216245285,0.002485020985226786,32,48,false,11.916076588
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,1.0,20000,2097152,4096,20,202607301020,-3.873224735259555,0.0024834302269136806,33,47,false,11.405709342
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,1,202607311001,-4.241742134093329,0.0012961719672669356,49,62,false,18.648252959
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,2,202607311002,-4.243016242980957,0.0012867914152712874,49,78,false,21.726986327
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,3,202607311003,-4.243087530136108,0.001173872090971892,50,62,false,19.270329645
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,4,202607311004,-4.243710756302789,0.0011952953854705768,54,62,false,21.274115784
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,5,202607311005,-4.242941379548029,0.0012152336097940477,51,62,false,19.283718289
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,6,202607311006,-4.241996526718594,0.00121547555414008,48,66,false,22.163849276
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,7,202607311007,-4.242890119553067,0.0011913317700523777,49,63,false,18.878926991
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,8,202607311008,-4.2421717643733245,0.0012745065678111973,50,62,false,16.480273841
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,9,202607311009,-4.2425847053523285,0.001244394012146186,49,62,false,19.289877038
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,10,202607311010,-4.243799924850464,0.0011927999951967467,48,62,false,20.877367308
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,11,202607311011,-4.2423887252812165,0.0013106139011730604,50,66,false,19.606620491
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,12,202607311012,-4.242132663726807,0.0012262282467747196,49,63,false,21.3062335
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,13,202607311013,-4.24123358726456,0.0012358852641376709,48,62,false,18.596147619
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,14,202607311014,-4.244099855422974,0.001222165651116227,49,68,false,21.993483314
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,15,202607311015,-4.24116849899201,0.0011864661554172394,50,62,false,19.075560359
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,16,202607311016,-4.243683815002441,0.0012456531431824648,48,63,false,21.349260655
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,17,202607311017,-4.2443611621847595,0.001282527653527791,48,62,false,19.64705864
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,18,202607311018,-4.240899324417114,0.0012449036275271324,49,66,false,21.84248695
FORMAL_EXTENSION,PRELEARNING_BASELINE,2,2,OBC,1.0,0.5,2.0,20000,2097152,4096,19,202607311019,-4.241234302521207,0.0012319934142999804,51,62,false,18.995174915
