block,m2,m4,R0,R2,C1
1,0.3901289073944092,0.17586499646309459,0.2172,0.4825,2465.886
2,0.3984658349752426,0.18333743236145775,0.209,0.5135,2495.1034
3,0.38369482526779175,0.1728324413244287,0.2276,0.4722,2440.0732
4,0.37528922946453097,0.16607932543242973,0.2397,0.4623,2416.227
5,0.3859989622592926,0.1728881680028867,0.2212,0.4826,2453.2429
6,0.3824343411207199,0.17086103265102248,0.2242,0.4772,2444.5226
7,0.38385026664733884,0.17249149668052804,0.2227,0.4706,2449.8866
8,0.3763645167350769,0.16822187912939177,0.245,0.4635,2415.2754
9,0.3890822369813919,0.17590818642078015,0.2249,0.4871,2464.3927
10,0.3784168967485428,0.1689402470533409,0.2443,0.4656,2426.9487
11,0.3828948544502258,0.17199067631958667,0.2303,0.4664,2440.8506
12,0.3808964243412018,0.1709862238708267,0.2384,0.4736,2430.2377
13,0.3800974430322647,0.16995112631860676,0.2316,0.4701,2433.4711
14,0.381350571346283,0.17137510084983726,0.2413,0.4718,2431.3916
15,0.3875358063697815,0.174309081435587,0.2193,0.4822,2462.8363
16,0.3882848160743713,0.17557277412371855,0.2199,0.4819,2460.5015
17,0.38733860981464385,0.1749850489464981,0.2244,0.4814,2458.6506
18,0.38877792129516603,0.17567423900134577,0.2297,0.4835,2461.3428
19,0.3871158043861389,0.1744073223713307,0.2209,0.4823,2458.7229
20,0.3827572952985763,0.1716812421708145,0.2246,0.4784,2441.9225
21,0.3814828427314758,0.17073164119192624,0.2356,0.475,2434.7619
22,0.39372428278923033,0.17981776071290345,0.2187,0.4975,2482.5292
23,0.3879224851608276,0.17568717439477008,0.2156,0.4854,2460.2115
24,0.3901161007881165,0.1776195796934338,0.2239,0.49,2461.2781
25,0.3834189970254898,0.17316052328853768,0.2362,0.4761,2443.1925
26,0.3977586072206497,0.18211110691175075,0.2068,0.507,2495.6393
27,0.39006061115264895,0.17653969408375578,0.2199,0.4818,2467.9486
28,0.3843636437892914,0.1723772163156897,0.2318,0.4746,2441.539
29,0.3810518179178238,0.1701580119324742,0.2287,0.4769,2440.6584
30,0.3830150884628296,0.17117536127677613,0.2333,0.4659,2441.9939
31,0.3830102633476257,0.17278994203542103,0.2347,0.477,2437.9864
32,0.40073244957923887,0.18433803931825296,0.2079,0.5054,2505.9068
33,0.3790253611564636,0.1691955660597881,0.237,0.4709,2426.474
34,0.3948184412479401,0.180206803623118,0.214,0.4943,2482.5673
35,0.37809636850357053,0.16802672833546303,0.2368,0.4582,2424.9107
36,0.37967815952301026,0.16964547196286187,0.2386,0.4636,2430.5539
37,0.38741505930423736,0.17449806285698563,0.2201,0.4895,2458.8819
38,0.3860308827638626,0.17334501654260798,0.2254,0.4711,2450.8551
39,0.38500645585060117,0.17317093801852707,0.23,0.4785,2452.2814
40,0.3833868398666382,0.17188899896957244,0.2268,0.4764,2445.9643
41,0.3818369646787643,0.1720868834938789,0.2375,0.4748,2433.8104
42,0.3891989342927933,0.1768588026392722,0.2221,0.4845,2461.0534
43,0.3860159991502762,0.17475342058836263,0.2296,0.4865,2452.2813
44,0.3830433107376099,0.17140907646275788,0.2306,0.4721,2443.9097
45,0.3877002361774445,0.1760819319641818,0.233,0.4811,2454.2666
46,0.3937846338748932,0.17933777317720673,0.2175,0.4945,2483.4513
47,0.38975300464630125,0.176505235921604,0.2228,0.4833,2469.5932
48,0.3863999115228653,0.17383795635487936,0.2223,0.4893,2452.2816
49,0.38034065907001496,0.17022603458558483,0.2376,0.4627,2428.3033
50,0.3856261271476746,0.17416162789037223,0.2248,0.4806,2451.7543
51,0.38258932642936705,0.17215239453606196,0.2334,0.477,2438.7294
52,0.39212517497539523,0.1792792828934108,0.2194,0.4915,2471.6953
53,0.38205694279670716,0.17175801722744977,0.2295,0.4765,2437.0187
54,0.3814312124490738,0.17012523340287258,0.2361,0.4738,2434.094
55,0.3798844922542572,0.17075663438106606,0.2426,0.4657,2428.3747
56,0.38893933806419373,0.1757887324545014,0.2266,0.478,2461.6844
57,0.37503505208492277,0.16675976724156027,0.2494,0.4596,2409.9681
58,0.38448616216182707,0.17254572084344222,0.2327,0.4682,2451.6063
59,0.3817160842657089,0.1702793526179643,0.2233,0.4784,2439.582
60,0.3844838807344437,0.17328307056644965,0.234,0.4757,2441.52
61,0.38408058152198793,0.17327774849568928,0.2293,0.4814,2445.0923
62,0.3825907473564148,0.17154440539458674,0.2336,0.4633,2441.6041
63,0.3879392343759537,0.17444520890193912,0.2186,0.4832,2463.4315
64,0.38183440976142885,0.17209455649971883,0.2404,0.4672,2432.7606
65,0.3895618973016739,0.1754681125475587,0.2182,0.4851,2464.4605
66,0.38383183891773226,0.1738382459621659,0.2373,0.474,2435.5398
67,0.38558537385463715,0.17365166281753477,0.2243,0.4817,2450.2166
68,0.3882798399925232,0.17551818265804517,0.2232,0.4833,2464.9835
69,0.3848116502523422,0.17309062545772771,0.2264,0.4831,2447.8799
70,0.39202514996528626,0.17810303127732144,0.2142,0.4921,2476.0984
71,0.3846928337097168,0.17257011932591926,0.2273,0.4824,2447.3405
72,0.38138337008953094,0.17063785692294453,0.2281,0.4711,2438.0858
73,0.38681083431243896,0.17383202661371114,0.2193,0.483,2458.6602
74,0.3804896950483322,0.17021712510727538,0.2361,0.4651,2424.5252
75,0.39334391179084777,0.17855134192017072,0.2108,0.495,2484.8443
76,0.38641263942718507,0.17375679158289753,0.2265,0.4919,2455.5872
77,0.38189645373821257,0.17128731998402646,0.2329,0.4751,2438.8554
78,0.3893863676309586,0.1759389172979147,0.2196,0.4869,2464.5955
79,0.37931974947452546,0.16907106540165906,0.2319,0.4733,2431.0809
80,0.3821241960287094,0.17069762285851225,0.228,0.4781,2443.3718
81,0.39036191821098326,0.17635717085959468,0.2178,0.491,2471.4317
82,0.3889653846502304,0.17638073341421734,0.2282,0.4792,2460.4645
83,0.3838489225149155,0.1730504555440336,0.231,0.4699,2439.7664
84,0.3790999613523483,0.16806825450203858,0.231,0.4686,2432.3665
85,0.38707896752357485,0.1752464423424199,0.2259,0.4773,2455.4478
86,0.37812474706172944,0.16859931129806663,0.2385,0.4659,2426.4784
87,0.3815366968870163,0.17099931346163952,0.2327,0.4694,2437.7078
88,0.3816040387153625,0.1713542540407766,0.2341,0.472,2433.6661
89,0.385497678565979,0.17347741606966813,0.2209,0.4867,2451.6537
90,0.3871880993366241,0.17446978146686407,0.2192,0.4847,2456.5406
91,0.37515590114593506,0.1658378866924291,0.2419,0.4636,2414.8768
92,0.3812685497045517,0.17069804031710803,0.2301,0.4755,2435.7217
93,0.375414430141449,0.16691826977851898,0.2386,0.4639,2414.5576
94,0.3924436283349991,0.17794986846810884,0.2127,0.495,2475.2348
95,0.37893320574760436,0.16918973328355147,0.2373,0.468,2428.5671
96,0.38066467380523683,0.1704852394063672,0.24,0.4664,2434.7511
97,0.38063557646274565,0.17008899846828482,0.2284,0.4683,2437.0171
98,0.3847760795354843,0.1722862759064078,0.2259,0.4768,2451.7162
99,0.3892325949192047,0.17631115562382765,0.2222,0.4883,2463.1024
100,0.3797799870967865,0.17008470916396592,0.2361,0.4675,2428.9943
