block,m2,m4
1,0.09979882626757025,0.016679545568176468
2,0.12453305524215103,0.02262215119281919
3,0.17569464329779147,0.03541496621622749
4,0.18806088653951883,0.03981061120771554
5,0.20035482030659915,0.04564150934666532
6,0.1311203141979873,0.02499478737714785
7,0.1500659729398787,0.03069788294032993
8,0.17072165309265255,0.03474844377255648
9,0.1805907513640821,0.035342736535380025
10,0.18619343230873348,0.038226484888908945
11,0.13086043238341807,0.025548443564559993
12,0.12308479780554771,0.019954029102672858
13,0.1443454071469605,0.027608526916127307
14,0.19953121648430824,0.04321186784909259
15,0.16234207862466574,0.031150186637762794
16,0.15732503660172223,0.03060418826459479
17,0.20655031919330358,0.045404982449947125
18,0.1911254086330533,0.03941930462321641
19,0.19852495638132095,0.041949566382883274
20,0.16340956972837448,0.03043055239082152
21,0.19622478973269464,0.04291217805337068
22,0.12183522292524576,0.021896632518793722
23,0.1627315651908517,0.031246773165209674
24,0.1459749812722206,0.026080907598112744
25,0.16380421368554235,0.03170358391048604
26,0.14864246430546046,0.029522347573015452
27,0.1799568375699222,0.03609293958666293
28,0.1834472497664392,0.037602803213919636
29,0.17886314316615462,0.03688221881329656
30,0.144247331032902,0.0280498915275393
31,0.16653583910614253,0.03189663587115557
32,0.18792640739902855,0.03859572148079774
33,0.16498954965174198,0.033554753467039726
34,0.12685382297635078,0.024002471447395
35,0.18632665415480734,0.03766339688594286
36,0.13489961148649454,0.02628417750718113
37,0.16925576575025916,0.03600980097061879
38,0.1958483500830829,0.041887068487008614
39,0.21015859490856528,0.04726088846947501
40,0.1277290074840188,0.021701818384750403
41,0.19656928356066347,0.04198636451654315
42,0.17864402556046843,0.03763390369991576
43,0.163563126219064,0.032117198029011196
44,0.14201779064759612,0.027309858703294856
45,0.1524295778900385,0.029942349559500963
46,0.15815664449483155,0.03076839583442573
47,0.16797874659523368,0.035543400695268214
48,0.12853504160121082,0.023633147801553064
49,0.17469569347724317,0.03397684208754515
50,0.16000123643875122,0.03028377786054479
