block,m2,Rp,C1
1,0.1667253963727504,0.841,26562.099
2,0.1694627841314301,0.8574,26766.2276
3,0.16679017292037607,0.848,26546.7576
4,0.1686003959162161,0.8614,26711.624
5,0.16370112351868302,0.8318,26338.3216
6,0.16524795867092906,0.824,26451.06
7,0.16469774757511912,0.8282,26399.5978
8,0.16799725041352212,0.8652,26656.0762
9,0.1638348087195307,0.8332,26348.5054
10,0.1699868575591594,0.8764,26851.976
11,0.16514573221933096,0.8338,26438.7386
12,0.16656291295289993,0.8478,26530.1192
13,0.16562815793212504,0.8438,26477.4246
14,0.16190592363718898,0.8056,26165.7032
15,0.16378745258152486,0.8414,26337.8808
16,0.1637619618419558,0.8216,26271.3988
17,0.1681347322491929,0.844,26667.1794
18,0.16482444690112025,0.83,26398.6348
19,0.16396646494232117,0.8208,26300.5784
20,0.1673289602600038,0.843,26600.422
