block,m2,Rp,C1
1,0.09660514960289002,-1.0118,1116.4786
2,0.09250084009170532,-1.0622,1088.0874
3,0.09046711807250976,-1.0774,1084.3656
4,0.09908666067123413,-0.998,1129.9264
5,0.10096299638748168,-0.9774,1142.9118
6,0.09087196049690247,-1.107,1076.7266
7,0.10364299173355103,-0.9268,1159.3106
8,0.09518197679519654,-1.0504,1100.8956
9,0.09531083154678345,-1.0332,1108.0262
10,0.09469075422286988,-1.0368,1099.0878
11,0.08838802523612976,-1.0996,1062.8814
12,0.09541184730529785,-1.021,1103.2684
13,0.09798874073028564,-0.9956,1128.4846
14,0.09436117997169495,-1.0366,1104.8954
15,0.09814982628822326,-1.0076,1131.2678
16,0.09216448402404785,-1.0726,1081.8034
17,0.09827758870124817,-0.9994,1127.7944
18,0.09764506292343139,-1.0242,1123.1834
19,0.09970585317611694,-0.9816,1133.084
20,0.0970878761768341,-1.0066,1112.648
