block,m2,Rp,C1
1,0.32260402393341064,0.267,2270.9804
2,0.32828984355926516,0.3156,2296.0962
3,0.3290574564933777,0.2904,2290.1704
4,0.3313707948207855,0.331,2305.8866
5,0.3263040479183197,0.2716,2275.9038
6,0.33096227316856386,0.314,2295.2336
7,0.3327941736221314,0.3282,2308.9022
8,0.33619714365005493,0.3264,2314.5364
9,0.3348598659515381,0.3564,2314.961
10,0.3282169506549835,0.3054,2287.0358
11,0.33139871010780336,0.3332,2303.491
12,0.3316313354969025,0.3394,2305.216
13,0.3325457395076752,0.327,2301.6224
14,0.33380509967803956,0.3512,2310.7304
15,0.33360539507865905,0.3466,2309.8016
16,0.3359139762878418,0.3418,2316.5462
17,0.3326537877559662,0.3292,2298.1738
18,0.32421450510025024,0.2664,2263.1744
19,0.3242669614315033,0.2548,2270.2504
20,0.3365032084941864,0.358,2317.991
