block,m2,m4,R0,R2,C1
1,0.32776256751865146,0.12488024967082988,0.2183,0.489,9029.7949
2,0.3293577539086342,0.12593401742389065,0.2252,0.4894,9050.3052
3,0.32134133508950474,0.12144307462852544,0.2409,0.4644,8925.9262
4,0.3175817335143685,0.11858609054605629,0.239,0.4676,8907.0817
5,0.3245775207579136,0.1225349495962069,0.2187,0.484,9007.0186
6,0.32793959110081194,0.12474504507070341,0.2233,0.4727,9036.4428
7,0.32548994925022123,0.12283350385947299,0.2184,0.4858,9024.5955
8,0.3316221072614193,0.12718281097401582,0.2112,0.4971,9096.5205
9,0.3294419842109084,0.1258879315325074,0.2253,0.4898,9065.1797
10,0.3198517285704613,0.12066569625785209,0.2395,0.4788,8931.7041
11,0.3272607170149684,0.12452452678242641,0.2265,0.4791,9026.6706
12,0.31963774402439593,0.12059415731705003,0.2338,0.4767,8931.6491
13,0.32487234751135113,0.12388245170998016,0.2288,0.4823,8974.0656
14,0.321078053689003,0.1213507051703189,0.2333,0.4699,8927.4347
15,0.3231388990134001,0.12197922305800367,0.231,0.4715,8960.67
16,0.32155786051899193,0.12094927462709514,0.2396,0.4741,8951.5767
17,0.33251965320706367,0.12739205075121127,0.2105,0.5002,9129.5158
18,0.31908653503656387,0.1194451961516675,0.2404,0.4626,8886.85
19,0.3275357889890671,0.12504782044220347,0.219,0.487,9038.3288
20,0.3332925797849894,0.12786301916641296,0.2079,0.506,9127.4861
21,0.32238475939780475,0.12220230909528504,0.231,0.4777,8960.4038
22,0.32282196614593267,0.12262322350589161,0.2338,0.4697,8959.3769
23,0.3194442673206329,0.12015097109713611,0.2375,0.4727,8916.884
24,0.3264309239268303,0.12397083412198294,0.225,0.4757,9032.2143
25,0.323387149451673,0.12205262630160685,0.2285,0.4752,8989.0415
26,0.3304940361574292,0.12683968132059223,0.2204,0.4955,9064.7608
27,0.31722677807956934,0.11950309813728868,0.2457,0.466,8859.1206
28,0.3248717229768634,0.12290232659684562,0.221,0.4847,8995.5633
29,0.32054618988186123,0.12132117011934597,0.2362,0.4739,8929.7356
30,0.3308838842198253,0.1267421280303488,0.2142,0.4923,9091.6425
31,0.32081471115648746,0.1209135004549631,0.2301,0.4717,8940.1
32,0.32526918741613625,0.12375139934816047,0.2209,0.4777,9005.6544
33,0.32851286736428736,0.12527723609675262,0.2216,0.4889,9053.7599
34,0.3299024758890271,0.12568517650628108,0.2102,0.4939,9082.9787
35,0.3175344979047775,0.1193815472660857,0.2343,0.4662,8893.2284
36,0.32406164939403537,0.12279850688302398,0.2313,0.4837,8998.9223
37,0.3190578039973974,0.11979708639045002,0.2347,0.4674,8912.8134
38,0.3187950901046395,0.11981363736633152,0.2381,0.4749,8909.0527
39,0.3232271777153015,0.1221389553820099,0.2268,0.4756,8965.5558
40,0.3282237178534269,0.12550053969190067,0.2206,0.4793,9045.1828
41,0.32251304666250946,0.12163280903408032,0.2288,0.4765,8971.3634
42,0.32637375864237544,0.12411415559773036,0.2135,0.4898,9033.4736
43,0.3228497584238648,0.12168380974386743,0.2274,0.4709,8963.2989
44,0.32620440977811815,0.12441145549389285,0.2249,0.4867,9013.9065
45,0.32298959755450485,0.12184634588680342,0.2327,0.4708,8972.5207
46,0.3183439819276333,0.1197713840366846,0.2418,0.4676,8892.6958
47,0.32300503485649823,0.12199031831639008,0.2313,0.4663,8973.1105
48,0.317347048060596,0.11909585879812205,0.2384,0.4697,8875.5501
49,0.323427218028903,0.12307095254002774,0.2268,0.4813,8965.1056
50,0.32282825119942427,0.12219503115328914,0.2344,0.4684,8964.4902
51,0.317221782232821,0.11857705613219584,0.2384,0.4594,8884.4885
52,0.3262613218426704,0.1242686988470136,0.2248,0.4875,9015.1428
53,0.3163350756034255,0.11897764034631025,0.2529,0.4648,8833.7511
54,0.32594405803978443,0.12428746685688039,0.2309,0.4785,8997.8926
55,0.32567623107284305,0.12396775321446009,0.2248,0.4848,9021.2041
56,0.3266356043547392,0.12446256981659658,0.2272,0.4909,9014.0274
57,0.32857334092259405,0.12534474501846551,0.2193,0.4843,9050.1823
58,0.3199571899056435,0.12081218663766168,0.2331,0.4717,8934.6229
59,0.32828350588977334,0.12498369639977873,0.2185,0.4887,9063.2701
60,0.3221328615397215,0.12190173195252506,0.23,0.4783,8944.5924
61,0.3270136332824826,0.12477007584487894,0.2227,0.4873,9049.2766
62,0.32173644847869876,0.12148880877184011,0.2309,0.4767,8937.3323
63,0.3242166743099689,0.12317625991651125,0.2305,0.4861,8971.9325
64,0.31476461771279574,0.1173428165660533,0.2454,0.4581,8835.1911
65,0.3244900226503611,0.12262947754578402,0.2279,0.4718,9004.8434
66,0.32082049545943736,0.12094625700332493,0.2333,0.4816,8938.4096
67,0.32242678954005244,0.12161368280038794,0.2299,0.4815,8966.1711
68,0.32484272297024724,0.12295693083683863,0.2205,0.4804,9017.78
69,0.32404862721711397,0.12346356275450994,0.2221,0.478,9000.4781
70,0.31527734310477973,0.11760246054051024,0.2465,0.4503,8848.7914
71,0.32441931732147933,0.12322368107235938,0.2273,0.4813,8997.8771
72,0.3256089081838727,0.12321337077582564,0.2182,0.4842,9016.5324
73,0.3323842169940472,0.12752594232174766,0.207,0.4984,9126.3499
74,0.33497993096411227,0.12921843790691492,0.2095,0.5016,9150.7813
75,0.31847176511436703,0.11930792421451569,0.2374,0.4634,8895.9855
76,0.3258147998765111,0.12362311713354476,0.2291,0.4853,9018.3931
77,0.32419041712880137,0.12200488360971021,0.2305,0.4742,9001.7238
78,0.3229833201557398,0.12163865693006451,0.223,0.4774,8972.1396
79,0.31816959214806556,0.12002255397185067,0.2398,0.4653,8883.4076
80,0.3245306657165289,0.12282294660469366,0.2245,0.4873,8996.2507
81,0.3282911543667316,0.12471621652677081,0.2203,0.4863,9054.9895
82,0.32564431367516516,0.12329192843227388,0.2211,0.4833,9006.4682
83,0.327380485534668,0.1251034065424549,0.2207,0.4939,9034.2991
84,0.3271131198361516,0.12484110454690431,0.2258,0.4914,9039.798
85,0.3290504847973585,0.1254318899355509,0.2218,0.4923,9057.1423
86,0.32491660192608834,0.1228385479595808,0.2267,0.4736,9002.2629
87,0.3268374160692096,0.12464282051224895,0.2188,0.4884,9027.8903
88,0.32315922142118214,0.12159221329247669,0.2171,0.4798,8996.0228
89,0.33056686048209666,0.12613572165268339,0.2115,0.488,9087.164
90,0.3290455362215638,0.12554052004709038,0.2125,0.4957,9076.0274
91,0.3263451315015554,0.12359369736123477,0.2191,0.4822,9015.475
92,0.32364134092926977,0.12200712077692183,0.2269,0.4728,8993.7678
93,0.3280501258864999,0.12521842659394902,0.2213,0.4803,9041.7426
94,0.3270910358741879,0.1250882879164636,0.2295,0.4827,9019.9585
95,0.325710810752213,0.12449952591090768,0.2323,0.4826,8999.6927
96,0.32757283750772476,0.12530759104090103,0.2143,0.4934,9054.657
97,0.3249274975255132,0.12402183600443013,0.2317,0.4834,8990.015
98,0.32984168877005576,0.12631593791823292,0.223,0.4894,9075.9981
99,0.3253263827875257,0.12292234314004218,0.2191,0.476,9013.856
100,0.33063107730448243,0.12653970447174748,0.2181,0.4946,9098.1739
