block,m2,Rp,C1
1,0.05811579411960292,-0.23257142857142857,537349.1348571428
2,0.053913944311253986,-0.3902857142857143,515490.11657142855
3,0.05615015421959045,-0.32971428571428574,526246.0851428572
4,0.057250364758792915,-0.24571428571428572,533094.3651428572
5,0.06133020777438112,-0.12857142857142856,555485.8771428572
6,0.05486887847634182,-0.36114285714285715,518142.0817142857
7,0.05745701203757374,-0.2897142857142857,533533.5965714286
8,0.054995707076311046,-0.36742857142857144,520702.14971428574
9,0.06254967485541993,-0.14,560560.9114285714
10,0.059910281195991476,-0.16857142857142857,552754.7434285714
11,0.05856241903963337,-0.2662857142857143,539753.6222857143
12,0.06131026206770009,-0.132,558591.7971428571
13,0.058243202901100806,-0.2662857142857143,533905.3645714286
14,0.0603219211252724,-0.15542857142857142,551276.2497142857
15,0.058553395905594365,-0.25885714285714284,538923.3611428571
16,0.0674492567721512,0.061714285714285715,587207.9462857143
17,0.05838101093280105,-0.24285714285714285,538833.34
18,0.05507950105631767,-0.3588571428571429,521622.4314285714
19,0.05469019537767014,-0.3537142857142857,515518.63542857143
20,0.05814366900945467,-0.284,535727.1171428572
