block,m2,Rp,C1
1,0.06462781058280477,-0.284,251542.86773333335
2,0.06833087283266359,-0.17893333333333333,260539.2888
3,0.06167384605436819,-0.39813333333333334,244289.7576
4,0.06520201720686843,-0.2656,251346.36266666665
5,0.06796200598696887,-0.19253333333333333,259008.5808
6,0.06571176566892051,-0.26826666666666665,253740.7096
7,0.06627188369879537,-0.25653333333333334,255906.684
8,0.06480539545481054,-0.28613333333333335,250886.3688
9,0.06662672543100198,-0.2594666666666667,254715.81946666667
10,0.0705896063275092,-0.11333333333333333,266653.4328
11,0.0659923807646439,-0.26106666666666667,254196.3432
12,0.07031429525700902,-0.1272,264297.82293333334
13,0.06689281018873444,-0.22293333333333334,255352.39546666667
14,0.06458745458427292,-0.29546666666666666,250813.9192
15,0.06756029870754574,-0.17413333333333333,258239.94666666666
16,0.06934282394625771,-0.1384,263252.4368
17,0.06863363379313184,-0.16533333333333333,260512.86746666668
18,0.06643696026416922,-0.24453333333333332,256927.3064
19,0.0661166084280092,-0.26986666666666664,253569.12533333333
20,0.06763865352573921,-0.22533333333333333,257513.34053333334
