block,m2,m4
1,0.2035350821495056,0.05013839199974211
2,0.17702264828681946,0.04327727208954328
3,0.17747669942379,0.04186183721572119
4,0.20946543262004852,0.0529927443081345
5,0.18989280638694764,0.047479230586043454
6,0.1940585149526596,0.04893868881292106
7,0.22030275925397874,0.05666439939890174
8,0.2037421113371849,0.050289083846052185
9,0.20573466680049896,0.05186400876705447
10,0.19196864974498748,0.04755501677567293
11,0.19133097915649414,0.04852568167862679
12,0.18375259197950364,0.043113413827437226
13,0.1655979167699814,0.03822205241609062
14,0.16997214460372925,0.040953053372816864
15,0.19465859487056733,0.049800022101841056
16,0.21771056734323502,0.05631217808138365
17,0.17276389578580856,0.04328510213559309
18,0.2065774309873581,0.05180367098350308
19,0.21695113236904146,0.05731050466160707
20,0.22886485981941224,0.060363000199687204
21,0.190353979241848,0.04692382128840871
22,0.17369915767908095,0.04269302495747696
23,0.18977490316629408,0.04700346854802338
24,0.23698881648778916,0.06258384205236932
25,0.2062267595410347,0.05217365810919937
26,0.16289275633096695,0.03842177977516267
27,0.1817927589058876,0.043307241723406824
28,0.17755764088630677,0.041259622759006506
29,0.22438115099668504,0.05739451217545495
30,0.21061332688331605,0.055661767602712915
31,0.21609167960882186,0.05543226923740676
32,0.22078753447532654,0.05757994376161829
33,0.20966146723031998,0.05435731032665801
34,0.17342552217245102,0.0436846860094583
35,0.21569038889408113,0.056156765269089075
36,0.1910102464079857,0.04777222873447587
37,0.2117945052742958,0.05385425514304576
38,0.18306421371698378,0.044971867200421005
39,0.17519792733192444,0.04035197584105876
40,0.19474216688871385,0.04853705735239847
41,0.21408596255779266,0.05427542881152356
42,0.1950095736145973,0.05069010126518792
43,0.1691520537376404,0.042308087801854265
44,0.23109524284601213,0.0594546541929001
45,0.1569950434446335,0.03638015176714641
46,0.19046308747529983,0.047910076099102444
47,0.21247811014652251,0.05608092459062857
48,0.19289348908662796,0.04640007238544356
49,0.2189073793053627,0.0575193606606529
50,0.1868864464044571,0.045865506014093914
