block,m2,m4,R0,R2,C1
1,0.39152011432647704,0.17731640701916068,0.2174,0.486,2472.9429
2,0.383521027636528,0.17156109681498288,0.2266,0.4796,2446.3325
3,0.3877936435699463,0.17492968947515353,0.2173,0.4905,2459.6215
4,0.3865307960510254,0.1738733543510964,0.2279,0.4836,2454.3982
5,0.39223883612155913,0.1778153027700478,0.215,0.4934,2473.7324
6,0.3829457674264908,0.17229648140062795,0.2354,0.471,2439.1648
7,0.38373920917510984,0.1720622170274351,0.2328,0.4745,2446.401
8,0.3859467667341232,0.17356235173878562,0.2261,0.4781,2454.6043
9,0.3918841422557831,0.17778364366186825,0.2169,0.4924,2475.0732
10,0.3813873927593231,0.17033274412084473,0.2319,0.472,2439.706
11,0.3903871296644211,0.17713838641936036,0.216,0.4824,2467.1559
12,0.37919788908958435,0.16964627192681947,0.2359,0.4665,2430.5654
13,0.3866598191022873,0.17477846527643454,0.2205,0.4838,2455.6637
14,0.38416725461483003,0.17154247629304933,0.2248,0.4778,2452.8234
15,0.3987677560806274,0.18286124903861967,0.2006,0.5087,2500.2853
16,0.38342985026836396,0.17125511266314297,0.2326,0.472,2443.7491
17,0.37831624686717985,0.1673516090234384,0.2329,0.4725,2427.3534
18,0.38504099583625795,0.17215993070531732,0.223,0.4776,2453.8521
19,0.38145771856307986,0.1707471805736702,0.2334,0.4676,2436.3727
20,0.38134936769008637,0.1713316470451035,0.2377,0.4673,2425.4559
21,0.3845126570224762,0.17298894278348134,0.2331,0.4734,2445.1153
22,0.38130887179374695,0.1704520683654159,0.2379,0.4652,2432.3385
23,0.39141370434761047,0.17744760887278566,0.2196,0.4933,2473.5708
24,0.3798926777601242,0.1699209283986146,0.2375,0.4676,2433.6315
25,0.38577925741672514,0.17412439314124245,0.2319,0.4773,2451.3466
26,0.38499644989967347,0.17378606477614325,0.231,0.476,2447.6528
27,0.3846524653673172,0.1728539668580383,0.2264,0.4837,2443.4136
28,0.3885799623966217,0.17632139653584467,0.2287,0.4853,2459.9295
29,0.38792682280540464,0.17639067033199216,0.2288,0.4801,2456.1686
30,0.38824828464984895,0.17575605239801112,0.2226,0.4836,2461.5618
31,0.3834012916088104,0.17191412656639318,0.2356,0.4716,2444.5379
32,0.3975912175655365,0.18172624852780406,0.2074,0.5034,2490.4378
33,0.3937616916656494,0.17853323592397033,0.2181,0.4937,2477.4356
34,0.3834305043697357,0.17314315386264034,0.2314,0.4843,2444.4608
35,0.38917938323020934,0.1753184649377608,0.2196,0.4908,2468.7903
36,0.3891393826007843,0.17617014740459558,0.2214,0.4852,2465.3798
37,0.39018301956653595,0.17722342559778603,0.226,0.4827,2464.2124
38,0.3931362412929535,0.1787709300115091,0.2069,0.4998,2480.3294
39,0.37771121480464936,0.1685269184977926,0.2431,0.4634,2419.0724
40,0.38522559003829954,0.17255725185235404,0.236,0.4746,2452.6729
41,0.39384541137218476,0.17976326269703333,0.2179,0.4871,2475.226
42,0.385551287817955,0.17400796394696863,0.2276,0.4798,2448.0466
43,0.3828273602485657,0.17199272380846894,0.2286,0.477,2441.1942
44,0.386613281750679,0.17465894709977234,0.2214,0.484,2459.2885
45,0.39243613522052767,0.17833561780047144,0.2054,0.4857,2476.4477
46,0.38789909110069276,0.1750493627095907,0.2128,0.4895,2464.5387
47,0.3878367292881012,0.17548257890766167,0.2156,0.4918,2458.7404
48,0.3843225391626358,0.17256069741274602,0.2201,0.4916,2449.0818
49,0.37762254137992857,0.1676790817539712,0.237,0.4585,2426.7751
50,0.38687618482112884,0.17465202187035145,0.2154,0.4873,2457.8363
51,0.3764917273521423,0.1666559727120761,0.2426,0.4543,2420.2242
52,0.3827079536914825,0.17220306329589644,0.2383,0.4686,2437.7282
53,0.380876699090004,0.17095981279168934,0.2423,0.4693,2429.4065
54,0.3863130688667297,0.17487863116368657,0.2254,0.4789,2451.1271
55,0.37964495770931245,0.17005202728403054,0.2389,0.4737,2425.7727
56,0.3871053661108017,0.1751827115921349,0.2235,0.4856,2456.1667
57,0.3875480796813965,0.17619353837239157,0.2266,0.4814,2454.8254
58,0.37715122458934786,0.16882988045455974,0.2434,0.4652,2419.9631
59,0.38434461295604705,0.17209236710067372,0.2298,0.4763,2445.9388
60,0.3945888746023178,0.18000740057479994,0.2093,0.506,2486.7377
61,0.38996210622787475,0.17723729985285055,0.2194,0.4897,2467.7104
62,0.3905340874195099,0.17679334041838876,0.2215,0.4747,2465.8621
63,0.3853889645576477,0.17375348898083692,0.229,0.4781,2449.348
64,0.38759373664855956,0.17549123246719625,0.2318,0.4796,2456.0618
65,0.38566290836334227,0.17277675140647078,0.2225,0.472,2447.8585
66,0.3903605365037918,0.17690180326552052,0.2232,0.4856,2464.3128
67,0.3850986428022385,0.17346116300622927,0.2285,0.4807,2452.7627
68,0.3831366983175278,0.17187527186383658,0.227,0.4824,2443.419
69,0.3853671976327896,0.17333195465812978,0.2297,0.4705,2451.1374
70,0.38165110502243044,0.17124698530166949,0.2325,0.4654,2433.9931
71,0.3888771995782852,0.17652158660881265,0.2247,0.4831,2456.5167
72,0.38557961151599884,0.17394854401455012,0.2228,0.484,2453.5084
73,0.38854311740398406,0.17636694200209443,0.2316,0.4841,2459.8568
74,0.3804225155591965,0.17094596921878025,0.2443,0.4777,2426.6279
