sample_id,ensemble,chain,bin,sweep,sign_d_ii,logabs_d_ii,sign_d_ti,logabs_d_ti,sign_d_alf_ii,logabs_d_alf_ii,sign_d_alf_ti,logabs_d_alf_ti,boundary_cut_log_ratio_ii,boundary_cut_log_ratio_ti,alive,first_rejection_kind,first_rejection_slice,first_rejection_site,log_q_prop,log_w_ratio,log_w_stock,log_w_phys,s_ref,identity_log_residual,min_selected_q,min_selected_q_slice,min_selected_q_site,min_halfk_ratio,min_halfk_slice,min_halfk_kind,min_normalized_overlap,min_sigma,min_principal_angle,central_ii_ekin,central_ii_epot,central_ii_etot,central_ti_ekin,central_ti_epot,central_ti_etot,endpoint_i_etot,endpoint_t_etot,alf_frozen_etot,alf_endpoint_etot,prefix_barrier,prefix_barrier_slice,near_node_count,numerically_ambiguous,support,proposal_risk,prefix_risk,near_node_risk,primary_static_stratum
1152921504606846977,II,0,0,2239,1,-4141.5656964422296,1,-4147.3337771738352,1,-4141.5654200549407,1,-4147.3767707882453,-0.0002763872889772756,0.042993614410079317,True,none,,,-5847.9312994712627,2375.0885569933344,1431.6631559918928,1703.0885569933291,-271.42540100143634,1.3642420526593924e-11,3.118093326279123e-07,221,10,0.046336226801192718,59,post_half_k,5.1467615738397133e-17,3.9555305350010234e-05,1.5707567714895363,-23.334085649775368,8.172691841548307,-15.161393808227061,-23.334085673264937,8.1726918358666989,-15.161393837398238,-12.2404023519665,-18.883734438589443,-15.161393808226281,-12.239815248760552,842.2003938057669,419,0,False,alive,regular,regular,regular,alive_regular_static
1152921504606846978,II,0,0,2478,1,-4105.3917251319926,1,-4106.2635996246781,1,-4105.3911519212006,1,-4106.2366255282486,-0.00057321079202665715,-0.026974096429512429,True,none,,,-5515.5917887455153,2083.8192238167803,1140.3938228153388,1411.8192238167751,-271.42540100143634,2.2737367544323206e-11,3.3952211714788842e-09,174,13,0.58527608160427103,314,pre_half_k,1.5074458649756468e-13,0.00010264970455667149,1.5706936770901596,-19.871752290740488,8.1231512771784153,-11.748601013562073,-19.871752297415135,8.1231512793510845,-11.748601018064051,-11.52898183508187,-14.217248283515216,-11.748601013556904,-11.527941248439539,510.14903655424587,418,0,False,alive,regular,regular,regular,alive_regular_static
1152921504606846979,II,0,0,2717,1,-4163.6282826330898,1,-4168.2909544341346,1,-4163.6285534143681,1,-4168.2441806822062,0.0002707812782318797,-0.046773751928412821,True,none,,,-4902.504351024033,1408.7044312858093,465.27903028436771,736.70443128580405,-271.42540100143634,9.0949470177292824e-12,0.0001249236477093928,203,3,0.0055987625154877447,212,pre_half_k,1.1215237930306245e-08,0.00096069881463837483,1.5698356278324799,-20.019612987879086,8.0770881357577249,-11.942524852121361,-20.01961298765978,8.077088135958471,-11.942524851701309,-13.381033396798498,-67.007419506935392,-11.94252485212607,-13.381624276724388,76.39988945277048,38,0,False,alive,regular,regular,regular,alive_regular_static
1152921504606846980,II,0,0,2956,1,-4103.3378751989458,1,-4115.0147217425911,1,-4103.3374995581435,1,-4115.2557477402606,-0.00037564080230367836,0.241025997669567,True,none,,,-6537.4492752615315,3096.9255882148345,2153.5001872133926,2424.9255882148291,-271.42540100143634,2.6375346351414919e-11,1.3918132153327657e-07,47,5,0.00077814803928050993,397,pre_half_k,7.8719129583865897e-17,0.0002009590294833379,1.5705953677640607,-17.805245269867854,6.0975314077550316,-11.707713862112822,-17.805245269867395,6.0975314077549063,-11.707713862112488,-14.451720284199665,-32.87389442374252,-11.707713862112854,-14.449939212525209,1531.7183695960357,419,0,False,alive,regular,regular,regular,alive_regular_static
1152921504606846981,II,0,0,3195,1,-4183.2723670276919,1,-4183.7299321212031,1,-4183.2714592339544,1,-4183.7527383945762,-0.00090779373749683145,0.0228062733731349,True,none,,,-6258.9724779781855,2749.7335805529133,1806.308179551472,2077.7335805529083,-271.42540100143634,1.0913936421275139e-11,1.5724059771192686e-08,17,0,0.015043999250781662,272,post_half_k,1.0117543919646588e-12,6.3866182465408669e-05,1.5707324606123878,-17.126370868973705,6.7743163133767981,-10.352054555596908,-17.126376859141537,6.7743248668404625,-10.352051992301075,-13.414679721779992,-15.454851826904655,-10.352054555671701,-13.413859721120236,1253.2415723126896,419,0,False,alive,regular,regular,regular,alive_regular_static
1152921504606846982,II,0,0,3434,1,-4200.6552144961661,1,-4208.0135042958391,1,-4200.6551125660553,1,-4208.0502988308799,-0.00010193011075898539,0.036794535040826304,True,none,,,-5340.661807053647,1807.1393374537247,863.71393645228318,1135.1393374537195,-271.42540100143634,3.637978807091713e-12,2.45784153485218e-06,53,12,0.00013999285873434977,136,post_half_k,1.6666721349063865e-12,5.2545876632629634e-06,1.5707910722072334,-20.918080942198273,8.3886382977200142,-12.529442644478259,-20.918079281345079,8.3886454157909096,-12.52943386555417,-11.39720480435694,-20.221362698186407,-12.529442644619767,-11.396594018310301,334.93090138815114,419,0,False,alive,regular,regular,regular,alive_regular_static
1152921504606846983,II,0,0,3673,1,-4057.7617733094858,1,-4071.5266799835158,1,-4057.7605555701734,1,-4071.7530104661701,-0.0012177393123238289,0.22633048265424804,True,none,,,-6884.42572004868,3487.3900747610796,2543.9646737596377,2815.3900747610742,-271.42540100143634,5.0022208597511053e-12,1.8984385555765028e-08,357,0,0.00096075735846143861,318,post_half_k,9.3880088022792845e-17,5.7804811236936948e-06,1.5707905463137728,-22.566010845095381,7.962857865432535,-14.603152979662845,-22.566010845095452,7.9628578654325146,-14.603152979662937,-13.033621019462798,-48.753590430670343,-14.60315297966285,-13.033404345695672,1878.6948143831842,419,0,False,alive,lowest_1pct,highest_1pct,regular,alive_low_final_q
1152921504606846984,II,0,0,3912,1,-4128.5898593234706,1,-4126.9424310583527,1,-4128.5895368952515,1,-4126.9226495963112,-0.00032242821907857433,-0.019781462041464692,True,none,,,-4440.6039935539056,988.15259719147764,44.727196190036068,316.15259719147241,-271.42540100143634,4.5474735088646412e-12,0.012127138013592258,187,6,1.2023098917112316,187,post_half_k,8.3731047753619079e-09,0.000797075255965462,1.5699992514545302,-22.334949490078611,6.2288610449102109,-16.1060884451684,-22.334949489460488,6.2288610447617332,-16.106088444698756,-12.586401178608613,-13.421884347634929,-16.106088445168453,-12.586410119358225,-0.24978074916759319,0,0,False,alive,regular,regular,regular,alive_regular_static
1157425104234217473,II,1,0,2239,1,-4120.133230479104,1,-4127.3092794004033,1,-4120.1331127724206,1,-4127.4705377745267,-0.00011770668334065704,0.161258374123463,True,none,,,-5287.761642312219,1834.9433976077194,891.51799660627785,1162.9433976077141,-271.42540100143634,1.6370904631912708e-11,1.0828068959466391e-06,88,15,0.082506234615413426,84,post_half_k,6.156804020328876e-18,9.8984543938259861e-06,1.5707864283405026,-22.223542239583399,8.6573463057958513,-13.566195933787547,-22.223542246773366,8.6573463027839246,-13.566195943989442,-11.935067360764503,-41.46284205083532,-13.566195933790386,-11.934983796224286,377.5674396202364,108,0,False,alive,regular,regular,regular,alive_regular_static
1157425104234217474,II,1,0,2478,1,-4114.7719476494603,1,-4111.9874912232062,1,-4114.7719308044962,1,-4111.908041748482,-1.6844964193296619e-05,-0.079449474724242464,True,none,,,-4896.4435301175972,1458.9470735903265,515.52167258888494,786.94707359032122,-271.42540100143634,1.546140993013978e-11,2.0346002918352065e-06,302,12,0.23543376965245358,255,pre_half_k,1.0852919322548978e-11,0.00022290028567227663,1.5705734265073785,-17.84455650941829,5.6813101496191258,-12.163246359799164,-17.844556532641342,5.6813101511750972,-12.163246381466244,-14.13586384200422,-13.036042889344662,-12.163246359801537,-14.135768561961845,141.8748183677792,49,0,False,alive,regular,regular,regular,alive_regular_static
