block,m2,Rp,C1
1,0.1229890641860431,0.8664,365347.51413333334
2,0.1232406442499186,0.8829333333333333,366131.8856
3,0.12171163461993662,0.8586666666666667,363649.6346666667
4,0.12492928164434658,0.8952,368649.7168
5,0.12049610780446286,0.8861333333333333,362601.7389333333
6,0.12341063170146954,0.8784,366154.00053333334
7,0.12422429134438183,0.8864,367966.66133333335
8,0.12218326364312282,0.8797333333333334,364837.3933333333
9,0.12365381025642176,0.8698666666666667,366534.93973333336
10,0.12142116642590457,0.8653333333333333,363466.2010666667
11,0.12170818110969654,0.8693333333333333,364115.6344
12,0.12255521507401523,0.8776,365211.98346666666
13,0.12385116724330776,0.8866666666666667,367475.3904
14,0.12457270899567423,0.8877333333333334,368004.37173333333
15,0.12435643242016571,0.8917333333333334,367821.9016
16,0.12234740823517398,0.8682666666666666,364962.2170666667
17,0.1215217295353786,0.8693333333333333,363811.3288
18,0.12180467919713119,0.864,363772.01146666665
19,0.12330631747328055,0.8904,366890.40106666664
20,0.12412958521566664,0.8941333333333333,367450.84266666666
