eta,p_parallel,largest_principal_angle_deg,minimum_subspace_overlap,local_positive_modes
0.01,0.0,0.7606843848567386,0.9999118692709441,5
0.03,0.0,2.2781913275895946,0.9992095982218108,5
0.06,0.0,4.5428408078278375,0.9968583901651737,5
0.1,0.0,7.535202298332811,0.9913644794806168,5
0.2,0.0,14.830937379475635,0.966685317399465,5
0.35,0.0,25.10445955849123,0.9055357791392458,5
0.6,0.0,40.29412010689295,0.7627347015068248,5
1.0,0.0,66.33911025473004,0.40132264928797096,5
0.01,0.5,0.800462154241265,0.9999024113562497,5
0.03,0.5,2.4066060818371464,0.9991179952838543,5
0.06,0.5,4.827416341245575,0.9964527048669564,5
0.1,0.5,8.072323170624731,0.990091604801912,5
0.2,0.5,16.223420929707515,0.9601795616035738,5
0.35,0.5,28.3295235096138,0.880232947295922,5
0.6,0.5,62.70685367068389,0.458543255592473,5
1.0,0.5,87.35533146225342,0.0461417847631266,5
0.01,1.0,0.9840661323665583,0.9998525099800712,5
0.03,1.0,2.92173359192424,0.9987000942813897,5
0.06,1.0,5.842273342635,0.9948058778008038,5
0.1,1.0,9.754818469154811,0.9855418135926646,5
0.2,1.0,19.52469702058666,0.9424975179734046,5
0.35,1.0,33.637420535703235,0.8325596366768256,5
0.6,1.0,58.33235521246713,0.5249911100364145,5
1.0,1.0,80.23764267596351,0.16956206068852814,5
