L,h,estimator_id,spacetime_binder,spacetime_binder_se,within_chain_se,between_chain_se,diagnostic_estimator_id,equal_time_binder,equal_time_binder_se,seed_count,seeds
6,4.76611,spacetime_binder_q,0.6428275754239232,0.00010292794860403157,9.927167570238576e-05,0.00010292794860403157,equal_time_binder_q,0.553955871810453,6.59372369774174e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
6,4.76711,spacetime_binder_q,0.6425018392823558,9.72064672555164e-05,9.72064672555164e-05,8.717568631204373e-05,equal_time_binder_q,0.5536820047167867,6.067990922787806e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
6,4.76811,spacetime_binder_q,0.6419697460335098,0.00010544218772235633,9.913231979785583e-05,0.00010544218772235633,equal_time_binder_q,0.5532933752348083,6.63719933672516e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
6,4.76911,spacetime_binder_q,0.641462724043436,9.954887298194048e-05,9.948558934230009e-05,9.954887298194048e-05,equal_time_binder_q,0.5528725510115047,6.565239268501516e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
6,4.77011,spacetime_binder_q,0.64067726329543,0.00010642094701023206,0.00010098228648748745,0.00010642094701023206,equal_time_binder_q,0.5523887690627529,6.998339637690798e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
8,4.76611,spacetime_binder_q,0.6387848937846469,0.00010458955291722454,0.00010458955291722454,0.00010308288476120426,equal_time_binder_q,0.5459282511342459,6.555048242475835e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
8,4.76711,spacetime_binder_q,0.6380228718666324,0.0001093171303979947,0.0001093171303979947,0.00010142859538833471,equal_time_binder_q,0.54537319958412,6.863132298962807e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
8,4.76811,spacetime_binder_q,0.6371980310608226,0.00010498434992399399,0.00010498434992399399,9.60258786498658e-05,equal_time_binder_q,0.5447514906705487,6.853830748226757e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
8,4.76911,spacetime_binder_q,0.6360756409562122,0.00010638970841383287,0.00010638970841383287,0.00010402392028740657,equal_time_binder_q,0.543962108287265,6.64446156321864e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
8,4.77011,spacetime_binder_q,0.6354445922358408,0.00011090186078196292,0.00011090186078196292,0.00010986802784186271,equal_time_binder_q,0.5434357697570148,7.36922346006399e-05,96,72001;72002;72003;72004;72005;72006;72007;72008;72009;72010;72011;72012;72013;72014;72015;72016;72017;72018;72019;72020;72021;72022;72023;72024;72025;72026;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;72072;72073;72074;72075;72076;72077;72078;72079;72080;72081;72082;72083;72084;72085;72086;72087;72088;72089;72090;72091;72092;72093;72094;72095;72096
