block,m2,Rp,C1
1,0.20997573022842408,0.0394,1791.1104
2,0.21232098865509033,0.0812,1804.3566
3,0.19777345080375672,-0.0464,1733.4856
4,0.2134494128227234,0.0736,1809.4866
5,0.20863997926712036,0.0228,1788.5386
6,0.21270276856422424,0.062,1810.5194
7,0.21102122445106505,0.0634,1797.4708
8,0.21404718828201294,0.0888,1808.961
9,0.21412887377738954,0.079,1816.55
10,0.21430208196640016,0.0968,1812.1574
11,0.21659699802398683,0.1264,1832.437
12,0.20982940940856934,0.0304,1788.2804
13,0.20862495870590209,0.0402,1794.084
14,0.2103519633769989,0.0502,1794.8702
15,0.2153628723144531,0.1112,1824.1758
16,0.21571428313255311,0.1158,1828.1164
17,0.21226632418632507,0.075,1806.1102
18,0.20824987258911132,0.0464,1785.4816
19,0.2102627163887024,0.0552,1795.7136
20,0.2042314727306366,-0.0164,1767.1626
