block,m2,m4
1,0.12913823289009743,0.01769889386589952
2,0.07078901500259525,0.006565982050707083
3,0.05435813964628614,0.006824774917342085
4,0.06956102127665653,0.008355439092683081
5,0.10054353644344956,0.012139501108234339
6,0.05916312215537764,0.005861622763098874
7,0.1329973738616798,0.01927600524428049
8,0.11038857281738892,0.013758971522683893
9,0.07207743974984623,0.008704494499115091
10,0.1456889481061604,0.022914961957385387
11,0.11685457611884922,0.015406488185052638
12,0.08848052220921963,0.01231661702580055
13,0.15264334826557896,0.02435957803931614
14,0.1473198342511896,0.022693178656730904
15,0.07811797742405906,0.007569926002871668
16,0.1347350581110455,0.019220779567044193
17,0.10062938716388307,0.012327289401030353
18,0.0063905008820816876,0.00010924988850538612
19,0.03204029161036014,0.002854585831585902
20,0.09597944895350374,0.011511857361291409
21,0.13293682339247317,0.018693728448461636
22,0.08878398757358082,0.010194521469178701
23,0.12627589868265204,0.017043288151283174
24,0.10268822182980367,0.011962852642018414
25,0.11741783988117241,0.015629831075060475
26,0.10006529009011574,0.01282910565260764
27,0.12871730468748138,0.01820307725472441
28,0.13344488962097092,0.01902772584643185
29,0.08713255356908776,0.01142955624179779
30,0.058358638999564574,0.007808266006591155
31,0.11120936181670986,0.014003027305416492
32,0.13352722669932993,0.018914963512233374
33,0.06960575675447471,0.007171284782887446
34,0.10577842101054266,0.014008536099839939
35,0.11185278458097019,0.016534166117615275
36,0.12652111819041892,0.018578283968691725
37,0.14520920789707453,0.021808907344304806
38,0.13797979172510094,0.019899888978210028
39,0.11035767225679011,0.015533278949282942
40,0.07687681258488446,0.007892539105902029
41,0.10826161396852695,0.013667145668594838
42,0.06947300533293746,0.007540029951683507
43,0.0744132581422571,0.008088573540480459
44,0.10370366069064475,0.01209123303152605
45,0.08332273361058906,0.011267587544740242
46,0.02667029755455442,0.0018421029359089783
47,0.13781569500737822,0.02029033980933321
48,0.12621100504058413,0.018046186910296608
49,0.14435988750541584,0.02210329631689463
50,0.1269750057776924,0.01749533612232209
