block,m2,Rp,C1
1,0.14428212836733614,-0.0814,214146.2396
2,0.1514314405527081,0.0116,220751.8996
3,0.15192567871224458,0.0362,221068.3524
4,0.14983534524647954,0.0196,220367.2686
5,0.14487944147349047,-0.0708,214988.203
6,0.1437975548341755,-0.0674,214765.016
7,0.15582934090028525,0.11,225487.502
8,0.14922904105411358,0.0244,219736.6316
9,0.1512762987145855,0.0268,220883.6136
10,0.14975327068343758,0.009,219302.3386
11,0.15374340171125933,0.0664,223560.0636
12,0.14684906953805021,-0.0416,216193.6928
13,0.15211215646796755,0.0374,221781.4322
14,0.15156418290281737,0.0144,221057.2432
15,0.14623427979575904,-0.0376,217595.6292
16,0.15139033389121614,0.037,221164.5148
17,0.14526013445151212,-0.0386,215770.8046
18,0.15366085036068602,0.0512,222389.203
19,0.15089763719274166,0.0184,219966.2848
20,0.1527605156245239,0.0456,221905.9906
