block,m2,Rp,C1
1,0.03690952147245407,-1.6762,10181.3248
2,0.039830698564276096,-1.6372,10573.0892
3,0.03910547616928816,-1.6468,10451.4248
4,0.041315307269059125,-1.6328,10731.6408
5,0.03955078578777611,-1.6468,10598.2306
6,0.03844498753678054,-1.663,10436.122
7,0.03947801517639309,-1.6624,10624.035
8,0.04046774923466146,-1.6274,10675.2826
9,0.040440353206172584,-1.6306,10608.3148
10,0.03636112474035472,-1.6864,10148.7646
11,0.03996740804854781,-1.6348,10637.5322
12,0.04059388711247593,-1.649,10556.5108
13,0.040045641415566206,-1.6264,10608.6138
14,0.04139830688629299,-1.638,10957.4084
15,0.04107678518071771,-1.6344,10799.5294
16,0.04218418729119003,-1.6156,11063.8194
17,0.0406341702979058,-1.638,10630.472
18,0.03999540490955114,-1.642,10588.5492
19,0.03754927504695952,-1.6812,10281.7354
20,0.04183549624476582,-1.6264,10800.8776
