AICc,L0,Lmax,Lmin,beta,chi2,delta_AICc_OP_minus_DP,dof,g0,gof_p,heldout1_rms_z,heldout2_rms_z,logL0,model,p,reduced_chi2
860.1438079588646,0.011963973951045934,8192,16,1,851.9619897770465,625.4909428496263,12,0.26066580574315706,1.179478245797375e-174,1.9091884054812711,20.872465886961614,-4.425855315494812,OP,,70.99683248142054
234.6528651092383,0.33581665557729107,8192,16,1,226.4710469274201,625.4909428496263,12,,1.0779540486089522e-41,0.7996789510230942,9.585226441410324,-1.0911899358745842,DP,0.3164167973701322,18.872587243951674
205.14627566004194,0.007838708592855733,8192,32,1,196.74627566004193,154.5304222294649,11,0.25162236129374443,3.51799260481028e-36,0.035665065086081436,12.073213101001219,-4.8486811784867125,OP,,17.886025060003814
50.61585343057704,0.2721505798358758,8192,32,1,42.21585343057704,154.5304222294649,11,,1.486120932144313e-05,1.833042598677795,4.88251146040761,-1.3013997635296035,DP,0.32582340621523637,3.8378048573251857
113.64365233012175,0.00650851025943801,8192,48,1,104.97698566345508,76.80586791072741,10,0.24780766991105188,5.473944151545039e-18,0.607962560298051,9.329779758445353,-5.034644687745256,OP,,10.497698566345509
36.83778441939433,0.2545549730923182,8192,48,1,28.171117752727667,76.80586791072741,10,,0.0016947826100038533,2.092242206608401,3.9123664427728166,-1.3682384620251111,DP,0.3287077664103044,2.8171117752727666
64.63567112415069,0.005476111848315077,8192,64,1,55.6356711241507,37.46707122080038,9,0.2443705803964357,9.212986060083419e-09,1.1060399466178412,7.209579648932243,-5.207359946579158,OP,,6.1817412360167445
27.168599903350312,0.2371510610755691,8192,64,1,18.168599903350312,37.46707122080038,9,,0.03326710882914022,2.3203948715495963,3.061484471156044,-1.439057952388273,DP,0.3316857575496516,2.0187333225944792
45.105775442279096,0.004691704804645627,8192,96,1,35.677204013707666,19.00921609237149,8,0.24135977827831076,2.0117449864274237e-05,1.4971174070671756,5.739265301986677,-5.361959264781022,OP,,4.459650501713458
26.096559349907608,0.2281033890819705,8192,96,1,16.66798792133618,19.00921609237149,8,,0.03375808259483162,2.439755542085759,2.798538982778797,-1.4779562919241775,DP,0.33329203000535146,2.0834984901670226
