block,m2,Rp,C1
1,0.09236982453663915,-0.132,170872.2792
2,0.0954283291142135,-0.0976,174492.9338
3,0.09466726863746659,-0.0824,172789.702
4,0.09365573549183936,-0.1206,171968.897
5,0.09163443742384791,-0.1776,169452.8076
6,0.09455805679101865,-0.123,172374.2068
7,0.09196935178424105,-0.157,170060.0592
8,0.09713637108864195,-0.0444,175677.2196
9,0.09475850987964207,-0.114,172976.585
10,0.0914131858482106,-0.1528,169800.4242
11,0.09640953272359193,-0.0332,175786.356
12,0.0942104684913646,-0.1208,172757.948
13,0.09344788305799902,-0.117,172261.7932
14,0.098132369646499,-0.021,177446.464
15,0.09374187754538878,-0.1238,172044.4348
16,0.09624123005718224,-0.0666,174949.5654
17,0.09653397077328446,-0.0818,174969.9806
18,0.09395812757401556,-0.0968,173240.8212
19,0.09271155632247943,-0.1362,170940.4546
20,0.0906964485210861,-0.204,168928.0612
