block,m2,Rp,C1
1,0.0709444298413748,-0.089,1.074032354e6
2,0.06540502179634268,-0.283,1.015703547e6
3,0.08446090265209182,0.253,1.181419739e6
4,0.0750898009664511,0.019,1.101240304e6
5,0.06983729245080462,-0.12,1.065428717e6
6,0.06846512995404691,-0.172,1.051222251e6
7,0.07353971123113275,-0.075,1.090664141e6
8,0.06416824078271316,-0.298,996800.708
9,0.06958856488145534,-0.222,1.060080766e6
10,0.06812449875303582,-0.112,1.051125068e6
11,0.06895957253148641,-0.157,1.050271948e6
12,0.07299710585672187,-0.077,1.085363845e6
13,0.07414481870328768,0.018,1.100748413e6
14,0.06989485870171643,-0.155,1.05503305e6
15,0.0693407601414433,-0.129,1.054317423e6
16,0.0695627407001009,-0.18,1.049300461e6
17,0.07533928680203508,0.044,1.108559462e6
18,0.07899645443102259,0.091,1.131079766e6
19,0.07673196012113022,0.074,1.115242279e6
20,0.07388266396328685,0.01,1.096915889e6
