eta,p_parallel,largest_principal_angle_deg,minimum_subspace_overlap,local_positive_modes
0.01,0.0,0.7606843848567386,0.9999118692709441,5
0.03,0.0,2.2781913275894348,0.9992095982218109,5
0.06,0.0,4.542840807827115,0.9968583901651747,5
0.1,0.0,7.535202298332519,0.9913644794806175,5
0.2,0.0,14.83093737947561,0.9666853173994651,5
0.35,0.0,25.104459558491182,0.9055357791392461,5
0.6,0.0,40.294120106892926,0.762734701506825,5
1.0,0.0,66.33911025473006,0.40132264928797085,5
0.01,0.5,0.8004621542421757,0.9999024113562495,5
0.03,0.5,2.406606081837298,0.9991179952838541,5
0.06,0.5,4.827416341245575,0.9964527048669564,5
0.1,0.5,8.072323170624639,0.9900916048019123,5
0.2,0.5,16.223420929707604,0.9601795616035733,5
0.35,0.5,28.3295235096138,0.880232947295922,5
0.6,0.5,62.70685367068394,0.4585432555924722,5
1.0,0.5,87.35533146225342,0.04614178476312656,5
0.01,1.0,0.9840661323643358,0.9998525099800719,5
0.03,1.0,2.9217335919244896,0.9987000942813895,5
0.06,1.0,5.842273342634999,0.9948058778008038,5
0.1,1.0,9.754818469154921,0.9855418135926642,5
0.2,1.0,19.524697020586792,0.9424975179734039,5
0.35,1.0,33.63742053570326,0.8325596366768254,5
0.6,1.0,58.33235521246755,0.5249911100364082,5
1.0,1.0,80.23764267596349,0.1695620606885287,5
