block,m2,Rp,C1
1,0.011457112626824528,-1.9618,19844.6872
2,0.011345480180368758,-1.9662,19782.71
3,0.011696984253567643,-1.9604,19986.0396
4,0.011842116777959745,-1.9632,20261.221
5,0.012151056611014064,-1.9626,20117.549
6,0.012291497258993332,-1.9598,20469.718
7,0.011425143415969797,-1.9616,19767.655
8,0.01206945569467498,-1.9614,20300.8548
9,0.011600162915547845,-1.9698,19938.5044
10,0.011749351748626213,-1.9588,19884.4686
11,0.0121805776003981,-1.9628,20266.2036
12,0.012042387840466108,-1.9612,20225.8718
13,0.012258053354045843,-1.9586,20220.332
14,0.012566672391002067,-1.953,20464.5172
15,0.01204342277526157,-1.9542,20166.0396
16,0.011442082161619328,-1.968,19858.2746
17,0.011869821167353075,-1.9606,19913.2248
18,0.011518946899473668,-1.9692,19434.4728
19,0.011945371182565577,-1.9698,20163.4196
20,0.011599850023456383,-1.9582,19790.062
