block,m2,Rp,C1
1,0.14163294967743956,0.039466666666666664,380105.3589333333
2,0.1449966874392063,0.11253333333333333,385882.4093333333
3,0.14295647924266716,0.07146666666666666,382128.9192
4,0.14130520996173535,0.0432,379583.1077333333
5,0.13634886115747505,-0.0424,372549.5978666667
6,0.1416179910892611,0.024266666666666666,379417.2069333333
7,0.14124451668852708,0.04053333333333333,381196.18666666665
8,0.1331129243145008,-0.08693333333333333,366041.21146666666
9,0.13941740869813948,0.010666666666666666,375749.35226666665
10,0.13767471124636552,0.0021333333333333334,373841.3128
11,0.14061319796740135,0.07546666666666667,379661.74213333335
12,0.13679848059471114,-0.0016,373624.64426666667
13,0.14248939812697548,0.045066666666666665,381516.2376
14,0.1381272753339552,-0.022933333333333333,374079.0858666667
15,0.1408632756067925,0.08026666666666667,380189.9154666667
16,0.14197962224471655,0.029066666666666668,381403.7768
17,0.14292990250696117,0.061066666666666665,382926.84373333334
18,0.1478704261521838,0.1344,391105.4117333333
19,0.14498541340010318,0.09333333333333334,385073.17093333334
20,0.14582507105531792,0.1184,386258.1448
