distance,exact,compact,absolute_error,relative_error
1,1.0000091825618154,1.0000091828406918,2.788764774663832e-10,2.7887391668940453e-10
2,0.1250092174308963,0.12500921770635118,2.7545488112679095e-10,2.2034765658705073e-09
3,0.03704631285994667,0.03704631314737969,2.8743302182832053e-10,7.758748432400252e-09
4,0.015634358157143244,0.01563435840925626,2.521130144927941e-10,1.612557496500777e-08
5,0.008009465028633528,0.008009465311416195,2.8278266707426614e-10,3.5306061773580263e-08
6,0.004639226846040959,0.004639227315451354,4.694103951027873e-10,1.011828933313262e-07
7,0.0029252075894617108,0.0029252072447525325,3.447091783022327e-10,1.1784092846746141e-07
8,0.001963066645339589,0.0019630677471898397,1.101850250796732e-09,5.612902921113634e-07
9,0.0013818985901634599,0.00138189857064088,1.9522579950206898e-11,1.41273607840483e-08
10,0.0010104018464803357,0.001010401782450881,6.40294546983694e-11,6.337028670465275e-08
11,0.000761994479074758,0.0007619948848728816,4.0579812351105443e-10,5.32547327644407e-07
12,0.0005896959039122528,0.0005896964052835117,5.013712589627822e-10,8.502200127837189e-07
13,0.0004665081118238778,0.00046650842945749504,3.1763361721653255e-10,6.808747997429243e-07
14,0.0003761634342954787,0.00037616360680774305,1.7251226434780026e-10,4.58609871719458e-07
15,0.00030846177835392884,0.00030846194754642224,1.6919249340311207e-10,5.485039161285673e-07
16,0.00025678705817007923,0.000256787302496902,2.4432682277104184e-10,9.51476388694073e-07
17,0.00021672083164292163,0.00021672114492040636,3.132774847370602e-10,1.4455347110019833e-06
18,0.00018523661029227966,0.00018523694816206788,3.3786978821822265e-10,1.8239903423254582e-06
19,0.00016021497023261077,0.00016021529366994273,3.234373319573134e-10,2.018770976817744e-06
20,0.00014014265625611027,0.00014014294904146065,2.927853503804749e-10,2.089195097354303e-06
21,0.00012392074947361475,0.00012392101541591736,2.659423026035116e-10,2.1460675773280094e-06
22,0.0001107394035685466,0.00011073965601331199,2.524447653955847e-10,2.2796290864915476e-06
23,9.999429217477747e-05,9.999454455452816e-05,2.5237975068376304e-10,2.5239415690111084e-06
24,9.122982002104537e-05,9.123008076480852e-05,2.607437631421943e-10,2.8580979671125577e-06
25,8.409988490211835e-05,8.410015645268719e-05,2.7155056884207475e-10,3.2289053565070314e-06
26,7.834038525706107e-05,7.834066556367546e-05,2.803066143861879e-10,3.578060198024402e-06
27,7.374974320915881e-05,7.375002806295326e-05,2.8485379445573455e-10,3.862437780262796e-06
28,7.01750055734698e-05,7.017529070444147e-05,2.8513097167625484e-10,4.0631414183179035e-06
29,6.75019083810138e-05,6.750219082580854e-05,2.8244479473890464e-10,4.184249031074026e-06
30,6.564782624960632e-05,6.564810491661205e-05,2.7866700573063626e-10,4.24487788325371e-06
31,6.45568853556478e-05,6.455716092981865e-05,2.7557417085028943e-10,4.268703010254206e-06
32,6.419676454251982e-05,6.419703894019262e-05,2.7439767279657974e-10,4.274322463943433e-06
33,6.45568853556478e-05,6.455716092981865e-05,2.7557417085028943e-10,4.268703010254206e-06
34,6.564782624960632e-05,6.564810491661205e-05,2.7866700573063626e-10,4.24487788325371e-06
35,6.75019083810138e-05,6.750219082580854e-05,2.8244479473890464e-10,4.184249031074026e-06
36,7.01750055734698e-05,7.017529070444147e-05,2.8513097167625484e-10,4.0631414183179035e-06
37,7.374974320915881e-05,7.375002806295326e-05,2.8485379445573455e-10,3.862437780262796e-06
38,7.834038525706107e-05,7.834066556367546e-05,2.803066143861879e-10,3.578060198024402e-06
39,8.409988490211835e-05,8.410015645268719e-05,2.7155056884207475e-10,3.2289053565070314e-06
40,9.122982002104537e-05,9.123008076480852e-05,2.607437631421943e-10,2.8580979671125577e-06
41,9.999429217477747e-05,9.999454455452816e-05,2.5237975068376304e-10,2.5239415690111084e-06
42,0.0001107394035685466,0.00011073965601331199,2.524447653955847e-10,2.2796290864915476e-06
43,0.00012392074947361475,0.00012392101541591736,2.659423026035116e-10,2.1460675773280094e-06
44,0.00014014265625611027,0.00014014294904146065,2.927853503804749e-10,2.089195097354303e-06
45,0.00016021497023261077,0.00016021529366994273,3.234373319573134e-10,2.018770976817744e-06
46,0.00018523661029227966,0.00018523694816206788,3.3786978821822265e-10,1.8239903423254582e-06
47,0.00021672083164292163,0.00021672114492040636,3.132774847370602e-10,1.4455347110019833e-06
48,0.00025678705817007923,0.000256787302496902,2.4432682277104184e-10,9.51476388694073e-07
49,0.00030846177835392884,0.00030846194754642224,1.6919249340311207e-10,5.485039161285673e-07
50,0.0003761634342954787,0.00037616360680774305,1.7251226434780026e-10,4.58609871719458e-07
51,0.0004665081118238778,0.00046650842945749504,3.1763361721653255e-10,6.808747997429243e-07
52,0.0005896959039122528,0.0005896964052835117,5.013712589627822e-10,8.502200127837189e-07
53,0.000761994479074758,0.0007619948848728816,4.0579812351105443e-10,5.32547327644407e-07
54,0.0010104018464803357,0.001010401782450881,6.40294546983694e-11,6.337028670465275e-08
55,0.0013818985901634599,0.00138189857064088,1.9522579950206898e-11,1.41273607840483e-08
56,0.001963066645339589,0.0019630677471898397,1.101850250796732e-09,5.612902921113634e-07
57,0.0029252075894617108,0.0029252072447525325,3.447091783022327e-10,1.1784092846746141e-07
58,0.004639226846040959,0.004639227315451354,4.694103951027873e-10,1.011828933313262e-07
59,0.008009465028633528,0.008009465311416195,2.8278266707426614e-10,3.5306061773580263e-08
60,0.015634358157143244,0.01563435840925626,2.521130144927941e-10,1.612557496500777e-08
61,0.03704631285994667,0.03704631314737969,2.8743302182832053e-10,7.758748432400252e-09
62,0.1250092174308963,0.1250092177063512,2.7545490888236657e-10,2.2034767878987403e-09
63,1.0000091825618154,1.0000091828406918,2.788764774663832e-10,2.7887391668940453e-10
