distance,exact,compact,absolute_error,relative_error
1,1.0000737394471704,1.0000737400016217,5.544513737021362e-10,5.54410491778967e-10
2,0.12507486525714595,0.1250748658112678,5.541218595084274e-10,4.430321458825386e-09
3,0.037113814768327674,0.03711381533820549,5.698778185458941e-10,1.5354870473520242e-08
4,0.01570453316271671,0.0157045336999607,5.372439888795544e-10,3.4209484822827877e-08
5,0.008083214771842685,0.008083215339479147,5.676364621398644e-10,7.022409748621135e-08
6,0.004717567231298022,0.00471756798101503,7.497170080930649e-10,1.589202593911487e-07
7,0.0030093074743638296,0.0030093074012052198,7.315860981252365e-11,2.4310779285851952e-08
8,0.002054296465360634,0.002054297827954648,1.3625940141828718e-09,6.632898596472379e-07
9,0.0014818928823382373,0.001481893115195408,2.3285717082842383e-10,1.5713495462708817e-07
10,0.0011211412500488822,0.0011211414384641929,1.884153106972153e-10,1.6805671068565206e-07
11,0.0008859152285483727,0.0008859159002887989,6.717404261958812e-10,7.582445865577564e-07
12,0.000729838560168363,0.0007298393543249723,7.94156609289047e-10,1.0881264057983546e-06
13,0.0006267230820564886,0.0006267237231274378,6.410709492551611e-10,1.022893471789155e-06
14,0.0005614000445877584,0.0005614005549698109,5.103820524847077e-10,9.091236408067733e-07
15,0.0005251826099968506,0.0005251830924668285,4.824699779233318e-10,9.186708941604619e-07
16,0.0005135741163401586,0.000513574604993804,4.886536454336635e-10,9.514763884829636e-07
17,0.0005251826099968506,0.0005251830924668285,4.824699779233318e-10,9.186708941604619e-07
18,0.0005614000445877584,0.0005614005549698109,5.103820524847077e-10,9.091236408067733e-07
19,0.0006267230820564886,0.0006267237231274378,6.410709492551611e-10,1.022893471789155e-06
20,0.000729838560168363,0.0007298393543249723,7.94156609289047e-10,1.0881264057983546e-06
21,0.0008859152285483727,0.0008859159002887989,6.717404261958812e-10,7.582445865577564e-07
22,0.0011211412500488822,0.0011211414384641929,1.884153106972153e-10,1.6805671068565206e-07
23,0.0014818928823382373,0.001481893115195408,2.3285717082842383e-10,1.5713495462708817e-07
24,0.002054296465360634,0.002054297827954648,1.3625940141828718e-09,6.632898596472379e-07
25,0.0030093074743638296,0.0030093074012052198,7.315860981252365e-11,2.4310779285851952e-08
26,0.004717567231298022,0.00471756798101503,7.497170080930649e-10,1.589202593911487e-07
27,0.008083214771842685,0.008083215339479147,5.676364621398644e-10,7.022409748621135e-08
28,0.01570453316271671,0.0157045336999607,5.372439888795544e-10,3.4209484822827877e-08
29,0.037113814768327674,0.03711381533820549,5.698778185458941e-10,1.5354870473520242e-08
30,0.12507486525714595,0.1250748658112678,5.541218595084274e-10,4.430321458825386e-09
31,1.0000737394471704,1.0000737400016217,5.544513737021362e-10,5.54410491778967e-10
