block,m2,Rp,C1
1,0.31167759911119935,0.6118,9039.6776
2,0.30704654604196546,0.5616,8952.1972
3,0.3120339411765337,0.5938,9016.7254
4,0.3130298275977373,0.6036,9040.5682
5,0.30683911964297295,0.5572,8952.289
6,0.31395966990292073,0.6044,9045.527
7,0.31091659647226333,0.5848,8997.1446
8,0.30973553718924524,0.5778,8989.0598
9,0.3036323235780001,0.5464,8899.5266
10,0.312279708352685,0.5888,9028.075
11,0.31341831677556037,0.6096,9047.7236
12,0.31092407890558243,0.5856,9010.9812
13,0.31180869154036045,0.5946,9015.437
14,0.31475565901696684,0.611,9065.5278
15,0.3064304237276316,0.5656,8955.534
16,0.30842033035755156,0.5744,8976.3772
17,0.31345688743889333,0.6152,9059.7604
18,0.31345865692198277,0.6092,9053.7968
19,0.3095241680949926,0.5588,8989.4206
20,0.3104235257744789,0.5836,9000.8278
