sample,g0,g1,g2,g3,g4,g5,neg_g0,x1,x2
1,16.897929649552395,16.870905062615716,15.987804827267933,15.927376880555112,15.63803661799242,15.576921116490656,-16.897929649552395,0.04301096595989227,1.44850864297205
2,16.943200334976368,16.898664315130013,15.941489812208612,15.897188197048393,15.65172314528397,15.549299387301085,-16.943200334976368,0.07088127704186102,1.5942718124565485
3,16.965644847809628,16.93071930754792,15.962020750849224,15.95292250959696,15.720112609023287,15.61856345337812,-16.965644847809628,0.05558572372805646,1.5973173603738804
4,16.957508175234487,16.918779340041574,15.910137097479865,15.861677854265297,15.66575396919469,15.59944485092476,-16.957508175234487,0.06163885561143451,1.6669428427613402
5,16.81587113231132,16.75236456349719,15.906529276798649,15.847187336831384,15.64024493668453,15.540833699230891,-16.81587113231132,0.10107384345574445,1.4472625126519751
6,16.970211640772234,16.919606826549572,16.03107546671717,15.965963456868476,15.675745432568831,15.616075595674817,-16.970211640772234,0.08054006327783786,1.494681643372742
7,16.80089371244049,16.744354060106463,15.851673203856567,15.824215234174222,15.568308154003741,15.494662962829304,-16.80089371244049,0.08998565149657707,1.5107313602533436
8,16.74181379081249,16.686359320191606,15.868578250735037,15.811425100900907,15.5603748099063,15.492810026149469,-16.74181379081249,0.0882585311585793,1.3897975268684741
9,16.72701865825872,16.69077182052055,15.871738806449088,15.834894123030786,15.585000786452019,15.534125805432597,-16.72701865825872,0.05768863397479991,1.3612201614240695
10,16.859628655230896,16.823633707027966,15.906986897812175,15.87186020785353,15.610587929642772,15.548063803581721,-16.859628655230896,0.0572877393283305,1.5161764468893977
11,16.87440796575255,16.836790789228044,15.860110315119401,15.830210038437324,15.643562290518926,15.569198939891733,-16.87440796575255,0.05986959589035556,1.6143048486476186
12,17.2219246207335,17.193201760061722,16.058279101930665,16.02127094004543,15.793359960167512,15.731862431837907,-17.2219246207335,0.04571385255653193,1.8519993632420413
13,16.767509950897868,16.727722145443828,15.886315372436533,15.845667723040433,15.64422957822171,15.584164186329657,-16.767509950897868,0.06332425912789127,1.4024647298790043
14,16.901698488014055,16.87838450425064,15.95465104910509,15.940365811405842,15.638867040235121,15.558990876197932,-16.901698488014055,0.037105357591117716,1.5072728124488166
