sample,gamma0,d1,d2,d3,d4,d5
1,-1.7912008061179336,0.19778939016112174,0.5543343457103469,0.7942826333353709,0.9641086187806323,1.0509566171116027
2,-1.7039299153488874,0.16409797434820275,0.6284392449799687,0.9270745198523971,1.027714068871051,1.0332764770205334
3,-1.6999782678216657,0.23129573364201486,0.6251668113805435,0.8141996520986496,0.9789820033376938,1.0363763586592043
4,-1.6795678946200536,0.07103911722273314,0.7915934625861158,0.7840020433995321,1.0690602596112038,1.0587355594791015
5,-1.6840290155239401,0.1279134844340457,0.6651458730441531,0.7933383377173642,0.8790942563362463,1.0785977182054223
6,-1.7589621611895954,0.16527617650652243,0.591943830867,0.754552295762558,0.9070556956647803,0.9887754982926832
7,-1.9040452313845975,0.11511077871348968,0.5729449946891474,0.5827512902003218,0.8033979979614547,0.9001529682961605
8,-1.700724051892975,0.22772363477591578,0.5185453628862059,0.7172007336765756,0.879573359236692,0.9843677224383582
9,-1.7325964043637267,0.14593213872920915,0.741530158844567,0.8609166316828395,0.9150549981390698,1.0705995143601672
10,-1.7818534784393973,0.09266343710970186,0.6356518965463971,0.7273760246113775,0.9267222852230794,0.9754224820162692
11,-1.7528810586050432,0.09411745340230541,0.7928331533292965,0.7911322213710262,0.9676649577354711,0.9986688598157387
12,-1.7548459103652518,0.10115875207454386,0.7771225731219401,0.853402852579877,0.9444335243071007,0.9961005461557038
13,-1.6301729341885138,0.18628921540450757,0.7069147219743264,0.9192984906973493,1.0053581635893707,1.1480216712251705
14,-1.7688530031002034,0.1928497509850832,0.6042943684654796,0.8571892316989523,0.7985382504154203,0.8865982914633064
15,-1.6735883756232963,0.19519519718714198,0.6754611543832499,0.8305361340689104,0.9896420196778695,1.0756970538644381
16,-1.8226887977608561,0.19579928008399566,0.6320363341959221,0.8792320995567009,0.8766119292864144,1.0416277119814876
17,-1.6810031858129628,0.08734301417617105,0.7275130443139725,0.8980508932508822,0.9587792830987801,1.094239770729364
18,-1.7661575930951674,0.15971684831961985,0.7244682830082971,0.8546978637950857,0.9470067968790508,1.09759693097933
19,-1.6411718442872518,0.15305033187257364,0.7837974532947274,0.9605447364297132,1.0226461785020449,1.0398829208722085
20,-1.7245522830949278,0.13910560018229123,0.6491254309036498,0.758866893698205,0.8510633233525424,1.0365869899462195
