sample,g0,g1,g2,g3,g4,g5,neg_g0,x1,x2
1,20.152612097389767,20.114363184194364,19.387515877482027,19.35808528609694,19.115654415319288,19.037010254220856,-20.152612097389767,0.07305004323529476,1.4612261440708867
2,20.39624487350302,20.379559486679266,19.469514040550717,19.434360110018375,19.222893078277426,19.156191134178904,-20.39624487350302,0.03186674148480693,1.7699255157603404
3,20.31440430627831,20.284652540493532,19.45338671204873,19.446422317804156,19.264127553407803,19.157132429115453,-20.31440430627831,0.056821687084315,1.6444224745287526
4,20.061347561517547,20.03514752360504,19.221935369132282,19.195823381764495,18.976673796773003,18.914778569185476,-20.061347561517547,0.050038386515645183,1.6031591965166383
5,20.199689762351365,20.176694554050293,19.37066770418539,19.335655207612895,19.089793158474205,19.014134857047424,-20.199689762351365,0.04391761282252123,1.583315501871981
6,20.153470958916454,20.123621713667042,19.357009574496086,19.310516778217337,19.12554947908925,19.03046108001347,-20.153470958916454,0.05700785914807499,1.5211291957477906
7,20.311877033980632,20.28204410701257,19.43622820290377,19.417883358226945,19.18014770682575,19.11301217782741,-20.311877033980632,0.056976693526399246,1.6723660785422725
8,20.361280940621935,20.33683664907912,19.413033377611153,19.38641792298627,19.152261534014567,19.117346054794034,-20.361280940621935,0.046685157953018745,1.8110194431361122
9,20.24889862717591,20.224491235209467,19.32754321978834,19.30883527680939,19.120477368205815,19.056149299534955,-20.24889862717591,0.046614684953293926,1.7596592091621501
10,20.25378510675896,20.214035623282456,19.459794844191332,19.40624284127059,19.202155504595492,19.17023320423936,-20.25378510675896,0.07591592136762566,1.5164097006536403
11,20.240621276007438,20.221313828466823,19.370953062272367,19.361806321518383,19.09684387997107,19.029613002157596,-20.240621276007438,0.036874508574917246,1.6609439407900266
12,20.1842940312499,20.15896522544891,19.300043340923935,19.298162742997274,19.11738050380307,19.053542517346404,-20.1842940312499,0.04837445575011093,1.688794419573581
13,20.153595468543386,20.100711086200956,19.37272057866607,19.334551004177197,19.077982216370774,19.014161591219885,-20.153595468543386,0.10100173034591438,1.491361183923774
14,20.36506425687313,20.33019736168434,19.434489957654797,19.419523847119404,19.219906908202447,19.11136453481608,-20.36506425687313,0.0665908646347517,1.777265995618488
15,20.183363889229586,20.15769378935819,19.3718525655766,19.348697959806003,19.153432299787163,19.090781499322947,-20.183363889229586,0.04902627941034087,1.5498724624130367
16,20.225062362830986,20.203159308499956,19.339464958479173,19.32940749623129,19.16757802408972,19.068911735769962,-20.225062362830986,0.04183175238712592,1.6913664539033164
17,20.138872187367703,20.095406714319125,19.37432765693677,19.360512142857345,19.172128338210833,19.08350160494811,-20.138872187367703,0.08301293867410396,1.4601724947834578
