sample,g0,g1,g2,g3,g4,g5,neg_g0,x1,x2
1,13.458392292431633,13.416157528926682,12.320482791387711,12.29567803935427,12.063156250630866,11.981111944211165,-13.458392292431633,0.05377497105704041,1.448831375058979
2,13.504788767908165,13.457274515552326,12.383576707393608,12.320316413392296,12.094623791321995,11.99438293756632,-13.504788767908165,0.06049702503798002,1.427571533481128
3,13.391954966782755,13.344008849125679,12.297670968746225,12.248969741986121,12.00012721211231,11.957967981386027,-13.391954966782755,0.061046893017514724,1.3932856594710061
4,13.417448366376979,13.35801543456676,12.265829714796864,12.185037274304111,12.03961582659404,11.96034346354413,-13.417448366376979,0.07567235904031967,1.466286407646388
5,13.537451646889064,13.48391198504087,12.442188024720446,12.324882365853046,12.065314134476298,12.032972317340612,-13.537451646889064,0.06816881467686998,1.3945329556549566
6,13.432919895398266,13.345406286195361,12.360203924842152,12.266213114829998,12.094509529372965,11.975189918508798,-13.432919895398266,0.1114257879396371,1.365824393981005
7,13.665821947984591,13.65745569730278,12.331586643201472,12.304639549983698,12.07082831270873,12.01502682748213,-13.665821947984591,0.010652241209250363,1.69880115203164
8,13.486667012754237,13.425946423408057,12.31593867102537,12.238627080766758,12.013141388537617,11.915131350405435,-13.486667012754237,0.0773118555351818,1.4906176208314157
9,13.526465601667788,13.459853405690644,12.31155584401404,12.219995982369417,12.048811853811966,11.936287010462372,-13.526465601667788,0.08481328207974709,1.5468711467293652
10,13.599120640826063,13.513414609674633,12.373497720061602,12.283496247541912,12.103514109052838,12.045219504825686,-13.599120640826063,0.10912430808430433,1.5605115696511236
11,13.559706650187962,13.513428771864348,12.299928082138617,12.256983021854447,12.062768967905953,11.991139439409068,-13.559706650187962,0.05892282472806835,1.6039998904502635
12,13.491101021354494,13.41668647559197,12.372169095192456,12.282118853648598,12.076111691853889,12.051157802995156,-13.491101021354494,0.09474754236835005,1.4246683762561916
13,13.537117938343403,13.498361876115723,12.384041268527248,12.371699687870324,12.12430162320992,11.997529483439706,-13.537117938343403,0.04934575102649909,1.4681428141214588
14,13.4480074208029,13.390503954903302,12.429770607503492,12.37285478482861,12.075204738393293,11.992042404314663,-13.4480074208029,0.0732156867426988,1.2964593765979213
15,13.587873410117767,13.548493259882473,12.435450860648663,12.395780435544411,12.140619095384872,12.085591139962656,-13.587873410117767,0.05014036455718798,1.4673099622285781
16,13.607850372300726,13.522256140402437,12.539689372523693,12.451200335943174,12.130928473060912,12.08029143746595,-13.607850372300726,0.10898196085413395,1.3600248250599662
17,13.346743101621461,13.28048169150059,12.342098064681066,12.297799042189805,11.932312220309482,11.814886880622156,-13.346743101621461,0.08436664765580819,1.27915378945443
18,13.574309898986682,13.518794395836972,12.344469531575264,12.305274171548238,12.067514757601884,11.962483804280236,-13.574309898986682,0.07068453395608038,1.5658813894998391
19,13.48064597046221,13.392145176811622,12.494935148834735,12.430627418676064,12.134889459631932,12.017049740957525,-13.48064597046221,0.11268271021637376,1.255045997769489
20,13.562616241943264,13.517256429462416,12.457193252714811,12.416195214605178,12.161147533854647,12.038993655195064,-13.562616241943264,0.05775390699238765,1.407468263545018
21,13.661489033054888,13.635463905162801,12.411412510988407,12.380573270570144,12.090497400755284,12.0136706512228,-13.661489033054888,0.033136221988995095,1.5916468618400414
