block,m2,Rp,C1
1,0.051392136346213056,-0.4364,124595.1872
2,0.05386650701604646,-0.3622,127786.1128
3,0.04863338511179167,-0.5252,120381.8706
4,0.05486598860023796,-0.3454,128697.7118
5,0.04809783884334022,-0.5602,118880.6266
6,0.049634004195246065,-0.5054,121751.5648
7,0.050624777295622106,-0.4574,123444.0074
8,0.04911951747554365,-0.529,120932.557
9,0.052613362021969604,-0.384,126276.355
10,0.05283836864729952,-0.4202,126046.909
11,0.04803994306422263,-0.5456,119639.3896
12,0.051206486395601596,-0.448,123127.225
13,0.048375085543942306,-0.5438,120052.7608
14,0.051933650016416734,-0.4388,124499.2638
15,0.04947078485565697,-0.5288,121581.9418
16,0.04999479655571927,-0.5012,122435.3352
17,0.05126114866666634,-0.4556,123702.5982
18,0.0542035469479192,-0.3526,128260.1788
19,0.051202524590972846,-0.4604,123580.1592
20,0.05031315520494762,-0.4638,122863.3048
