distance,correlation
0,1.0
1,0.5039279887323336
2,0.41526230660507524
3,0.37051699933617055
4,0.34217028026392526
5,0.32221875675373485
6,0.30732578911197556
7,0.2958101415900095
8,0.2867186523312151
9,0.2794658112919763
10,0.2736712935128977
11,0.26907843806934084
12,0.26550996633015994
13,0.2628425139801741
14,0.2609914185290348
15,0.2599014924745895
16,0.25954154796044965
17,0.2599014924745895
18,0.2609914185290348
19,0.2628425139801741
20,0.26550996633016
21,0.26907843806934084
22,0.2736712935128977
23,0.27946581129197634
24,0.2867186523312151
25,0.2958101415900095
26,0.3073257891119756
27,0.32221875675373485
28,0.34217028026392526
29,0.37051699933617055
30,0.4152623066050753
31,0.5039279887323336
