block,m2,Rp,C1
1,0.061733463065442626,-0.4004,60707.4446
2,0.055732873498334085,-0.56,57165.8576
3,0.059611034886550625,-0.4694,59081.489
4,0.054625410124997144,-0.5932,56490.9378
5,0.0598517829392571,-0.4662,59364.5858
6,0.05612907357360236,-0.5582,57186.2152
7,0.06331619255280821,-0.3852,61268.7282
8,0.056824783988040875,-0.5248,57856.6884
9,0.060574400976137255,-0.4346,60019.3112
10,0.06094458972390276,-0.419,60217.4714
11,0.060796588533907195,-0.4374,59828.8642
12,0.05854724281585077,-0.4712,58804.6324
13,0.0594137672787765,-0.4824,59043.2502
14,0.06159270633379929,-0.3792,60411.2426
15,0.06232328483291203,-0.398,60881.7818
16,0.060812838013540024,-0.43,59997.9864
17,0.059954427133174615,-0.4142,59575.3634
18,0.05870872102511348,-0.4914,58834.1854
19,0.058716954320238435,-0.4792,58669.6852
20,0.0625304664954776,-0.3554,61298.7516
