block,m2,Rp,C1
1,0.07805898400731384,-0.4668,16919.0124
2,0.08260470017045736,-0.3504,17633.4574
3,0.0743815301867202,-0.547,16461.5628
4,0.07326187064703554,-0.5962,16295.9312
5,0.07605539422705769,-0.541,16498.3172
6,0.07615197762548924,-0.5024,16733.8382
7,0.07202235906720161,-0.5994,16155.5302
8,0.07794590620696544,-0.4796,16927.4376
9,0.07580004104599357,-0.51,16574.431
10,0.07328966191597283,-0.5564,16333.3898
11,0.075298111256212,-0.5278,16484.699
12,0.07631150217112154,-0.497,16731.7816
13,0.08007265347782522,-0.4258,17229.305
14,0.07787748062107712,-0.4634,16994.1214
15,0.07406361272037029,-0.5292,16504.3532
16,0.0752098572568968,-0.513,16556.1296
17,0.07451056720800697,-0.545,16539.325
18,0.07329255661126226,-0.5886,16293.1398
19,0.07122599081676453,-0.609,16110.6064
20,0.07770648476164788,-0.4758,16820.6466
