block,m2,Rp,C1
1,0.30474616136584665,0.9906,144524.7764
2,0.30310705486986556,0.9868,144101.9428
3,0.3046747707707342,0.9858,144454.5296
4,0.30210405834262494,0.985,143966.066
5,0.30378326502272396,0.988,144348.6768
6,0.3017773166052764,0.9822,143840.6354
7,0.303167324298725,0.983,144190.4786
8,0.3042424538927269,0.9902,144438.4714
9,0.302215749161446,0.9874,144007.7134
10,0.3030862126864144,0.988,144099.4808
11,0.3024866402964224,0.9858,143932.3728
12,0.30225429831298534,0.9842,143983.2996
13,0.3051365693997242,0.9896,144584.0448
14,0.3034684690753813,0.9884,144233.2528
15,0.30333018703322157,0.9876,144181.9708
16,0.3038910167682567,0.9886,144329.1602
17,0.3040119432432577,0.9858,144390.0906
18,0.30539200445379827,0.988,144644.3384
19,0.3022706397780101,0.9874,143951.769
20,0.30282327756215816,0.9864,144066.584
