beta,energy,energy_standard_error,energy_per_site,energy_per_site_standard_error,autocorrelation_time,effective_samples,ed_energy,ed_energy_per_site
0.1,-0.619374599417704,0.15385292058318478,-0.154843649854426,0.038463230145796196,1.0591068361213076,94.41918094516598,-0.5011714752382909,-0.12529286880957272
0.2,-1.1369733493155558,0.1638140958127511,-0.28424333732888896,0.04095352395318778,1.0,100.0,-1.0075871741706095,-0.2518967935426524
0.3,-1.45444460605231,0.1567014451232899,-0.3636111515130775,0.039175361280822475,1.0,100.0,-1.5166432902331897,-0.3791608225582974
0.4,-1.9903240522774022,0.14138455368079203,-0.49758101306935054,0.03534613842019801,1.2181555556075667,82.09132203163006,-2.0145744147982128,-0.5036436036995532
0.5,-2.7072528699396576,0.12909161449308218,-0.6768132174849144,0.032272903623270545,1.0,100.0,-2.4798563756036702,-0.6199640939009176
0.6,-3.0214618562799798,0.11555630633575324,-0.7553654640699949,0.02888907658393831,1.0,100.0,-2.8912438251675274,-0.7228109562918819
0.7,-3.1410035432906382,0.11708815775810846,-0.7852508858226596,0.029272039439527116,1.0,100.0,-3.2352245388139744,-0.8088061347034936
0.8,-3.5134187503988783,0.09637425523586084,-0.8783546875997196,0.02409356380896521,1.0,100.0,-3.508830278949203,-0.8772075697373007
0.9,-3.776169248162791,0.07082015966437062,-0.9440423120406978,0.017705039916092655,1.0,100.0,-3.717756125953964,-0.929439031488491
1.0,-3.8533690040440045,0.06422897928169023,-0.9633422510110011,0.016057244820422558,1.0,100.0,-3.8724175064729884,-0.9681043766182471
1.1,-4.065732875050181,0.029223700116766033,-1.0164332187625453,0.007305925029191508,1.0,100.0,-3.9843965186333197,-0.9960991296583299
1.2,-4.0478354226154085,0.03434477346536815,-1.0119588556538521,0.008586193366342037,1.0209035328730693,97.95244778767277,-4.064270327164289,-1.0160675817910723
1.3,-4.098288280527716,0.03444698660071403,-1.024572070131929,0.008611746650178508,1.2883450701384966,77.61895653409846,-4.120712479631102,-1.0301781199077755
1.4,-4.153782338947392,0.028004151810132383,-1.038445584736848,0.007001037952533096,1.0,100.0,-4.160387088937734,-1.0400967722344334
1.5,-4.204396654066107,0.009526209967180845,-1.0510991635165268,0.002381552491795211,1.0,100.0,-4.1882098363860205,-1.0470524590965051
1.6,-4.218974987959935,0.006958204981514228,-1.0547437469899839,0.001739551245378557,1.0,100.0,-4.207715028371957,-1.0519287570929892
1.7,-4.214086662928107,0.017080892410989944,-1.0535216657320268,0.004270223102747486,1.0034239078909963,99.65877752522434,-4.22140399141538,-1.055350997853845
1.8,-4.242715541591391,0.0025837726852503467,-1.0606788853978477,0.0006459431713125867,1.0,100.0,-4.2310306246227976,-1.0577576561556994
1.9,-4.241485804571143,0.0029508776727605636,-1.0603714511427857,0.0007377194181901409,2.127386324131711,47.006036875232255,-4.23781867656891,-1.0594546691422275
2.0,-4.242660428339628,0.0029682756662233736,-1.060665107084907,0.0007420689165558434,1.0,100.0,-4.242620258088311,-1.0606550645220778
2.1,-4.246200235075907,0.0016778294282175255,-1.0615500587689768,0.0004194573570543814,1.0,100.0,-4.246028648570613,-1.0615071621426533
2.2,-4.241961440264726,0.0056275974017411055,-1.0604903600661815,0.0014068993504352764,1.0,100.0,-4.24845740773875,-1.0621143519346874
2.3,-4.243829734390259,0.005907825695752883,-1.0609574335975647,0.0014769564239382207,1.0,100.0,-4.250195398965033,-1.0625488497412583
2.4,-4.249551497377929,0.0032886969658921404,-1.0623878743444823,0.0008221742414730351,1.0,100.0,-4.251444898596698,-1.0628612246491744
2.5,-4.249050866820608,0.0025742726722692523,-1.062262716705152,0.0006435681680673131,1.0,100.0,-4.25234795117206,-1.063086987793015
2.6,-4.252302468465031,0.0012755613215028308,-1.0630756171162576,0.0003188903303757077,1.0,100.0,-4.253004601235384,-1.063251150308846
2.7,-4.252169593242144,0.001266819377068781,-1.063042398310536,0.0003167048442671952,1.0,100.0,-4.253485524263033,-1.0633713810657583
