block,m2,m4
1,0.0813803092664748,0.007421753576283325
2,0.012372228526591788,0.0003302844017128779
3,0.02045395025393227,0.000492545485464022
4,0.06584311613325554,0.005139006298763519
5,0.03677240740664129,0.001498922261258119
6,0.04992794841664436,0.0029259123176953936
7,0.11993744255555794,0.015507419485800982
8,0.16411722034036647,0.027274385022608403
9,0.13628453846893682,0.01935884704555326
10,0.10457344898052688,0.011203642977004213
11,0.13641406063291361,0.01901809487238046
12,0.1286598938318115,0.01830863414663482
13,0.017878376795709482,0.0005483123320866299
14,0.0788061096299265,0.009922589155943507
15,0.1548336108108313,0.02450105247858807
16,0.1336046658348758,0.01832007799764043
17,0.07846491033917409,0.007031255113473174
18,0.016628466553223552,0.0004908195947744268
19,0.008249541731615318,0.00011958644537833591
20,0.02795293973009975,0.0013264208247385839
21,0.0167118819221796,0.0007300467212818814
22,0.0017908365624083671,7.69067636312809e-6
23,0.00317621512064361,2.2603534947109745e-5
24,0.005038041696586879,6.244363641813401e-5
25,0.0012665299207874341,3.6641769851371383e-6
26,0.009369079898900236,0.00012334101328400943
27,0.07799967846360523,0.0081695792686718
28,0.15503318921297904,0.024454304953624804
29,0.10222789287260384,0.011178970289159653
30,0.0813873968682572,0.007513529607831859
31,0.11496309437152231,0.013610324555410176
32,0.14153030742647824,0.020467874116844077
33,0.1473710163913667,0.022945891018717406
34,0.15869479657727642,0.025683078165692517
35,0.14793530590818263,0.022528041178496837
36,0.1374234166730079,0.01993506204880571
37,0.14356130682283838,0.021438575454888018
38,0.16575224746113817,0.027873702632767696
39,0.1561529545709549,0.024698582037789196
40,0.14026099789011642,0.02024944361066759
41,0.14912248469790793,0.023195042234825138
42,0.13658678349429976,0.01910505769635221
43,0.11885796637894819,0.01537103017798254
44,0.12696713455418066,0.01693078276532275
45,0.11878384043728583,0.015137599026462637
46,0.13789501761010034,0.019587792705914642
47,0.08097561774131028,0.007391946488790026
48,0.14540277698471618,0.021581495916950934
49,0.09589894017969781,0.009522655313761197
50,0.10092922149774095,0.011292212020157722
