achieved_ess,beta,cell_id,cohort,final_reason,g_b_over_g_a,hs_q_a_tau_int,hs_q_b_tau_int,m,measurements,mu,q_a_sq_tau_int,q_b_sq_tau_int,q_combined_tau_int,realized_measurement_sweeps,replica,staggered_structure_tau_int,status,t,worst_tau_int,worst_tau_key
43.15469648971331,4.0,half_filled_core_m04_b04_g025_t025_mu000,half_filled_core,production ESS and numerical audits passed,0.25,7.635247808412747,7.291619336589245,4,997,0.0,11.551465785857777,4.250951577994322,8.653826332572779,1994,0,5.865255733215534,COMPLETE,0.25,11.551465785857777,q_a_sq_tau_int
44.19542088055282,4.0,half_filled_core_m04_b04_g025_t025_mu000,half_filled_core,production ESS and numerical audits passed,0.25,5.743067935784896,11.109748254848125,4,982,0.0,6.035913542548963,4.93017705278532,5.783444735920391,1964,1,9.132149455437315,COMPLETE,0.25,11.109748254848125,hs_q_b_tau_int
40.0302683745601,4.0,half_filled_core_m04_b04_g025_t025_mu000,half_filled_core,production ESS and numerical audits passed,0.25,3.756180859175614,3.7542861198864617,4,545,0.0,2.3663163930669526,5.1723131290596065,3.904406690317875,1090,2,6.80734881540735,COMPLETE,0.25,6.80734881540735,staggered_structure_tau_int
40.06379174493319,4.0,half_filled_core_m04_b04_g025_t025_mu000,half_filled_core,production ESS and numerical audits passed,0.25,8.97318961442199,7.685817213739515,4,719,0.0,8.267605462010389,6.161730926312046,7.464332724159647,1438,3,6.460186191488999,COMPLETE,0.25,8.97318961442199,hs_q_a_tau_int
73.5582861718431,4.0,half_filled_core_m04_b04_g025_t050_mu000,half_filled_core,production ESS and numerical audits passed,0.25,7.16438660314692,5.661774258889201,4,1054,0.0,2.3934655605464874,4.5464861771352165,3.8958497477131453,2108,0,5.23461703647526,COMPLETE,0.5,7.16438660314692,hs_q_a_tau_int
55.8814982379445,4.0,half_filled_core_m04_b04_g025_t050_mu000,half_filled_core,production ESS and numerical audits passed,0.25,7.275003646075159,4.619468319776427,4,1054,0.0,3.6495268891930626,8.901452500311896,9.332336419596073,2108,1,9.43067055496658,COMPLETE,0.5,9.43067055496658,staggered_structure_tau_int
106.51943823500996,4.0,half_filled_core_m04_b04_g025_t050_mu000,half_filled_core,production ESS and numerical audits passed,0.25,4.9474538049787595,4.727452584157278,4,1054,0.0,1.945274205778828,3.332815568949284,2.904041092612391,2108,2,3.830927639409149,COMPLETE,0.5,4.9474538049787595,hs_q_a_tau_int
66.85453348158721,4.0,half_filled_core_m04_b04_g025_t050_mu000,half_filled_core,production ESS and numerical audits passed,0.25,7.882786290702994,7.040478014110188,4,1054,0.0,2.6536963841290313,2.9020118494684333,2.5470894017484644,2108,3,3.4023777874097823,COMPLETE,0.5,7.882786290702994,hs_q_a_tau_int
41.877586282046316,4.0,half_filled_core_m04_b04_g025_t100_mu000,half_filled_core,production ESS and numerical audits passed,0.25,8.787516967227127,4.555768870393772,4,736,0.0,2.7820189510346496,2.7379348637611907,2.331523044138789,1472,0,2.741783888306091,COMPLETE,1.0,8.787516967227127,hs_q_a_tau_int
41.8503877433067,4.0,half_filled_core_m04_b04_g025_t100_mu000,half_filled_core,production ESS and numerical audits passed,0.25,4.934243411711911,3.5699065477747527,4,413,0.0,1.6227077445692766,2.6069319892355804,2.1276256934185547,826,1,2.5272698512414724,COMPLETE,1.0,4.934243411711911,hs_q_a_tau_int
