block,m2,Rp,C1
1,0.16557896257042884,0.3808,6489.1936
2,0.1693434509217739,0.42,6552.183
3,0.1611416118592024,0.329,6385.4202
4,0.16344235190451145,0.346,6424.854
5,0.1653899371743202,0.3926,6496.141
6,0.1667307998687029,0.3688,6489.383
7,0.16690874931812286,0.4038,6521.0068
8,0.16246695616841317,0.3284,6397.8228
9,0.16759914322495462,0.426,6549.4648
10,0.16138285974860192,0.3196,6369.7082
11,0.16497321300804615,0.366,6466.7136
12,0.16260078159868718,0.3514,6394.191
13,0.169112019020319,0.4204,6570.1644
14,0.1637497882694006,0.3598,6452.5504
15,0.16519903774857522,0.394,6484.4254
16,0.1621957013517618,0.3806,6437.3354
17,0.1659233200252056,0.3872,6492.8042
18,0.15936054931282997,0.3026,6344.2866
19,0.1661023379713297,0.3608,6467.404
20,0.1656516887485981,0.3834,6490.234
