distance,exact,compact,absolute_error,relative_error
1,1.0001837038934902,1.0001837064693515,2.5758613020343546e-09,2.575388193196016e-09
2,0.14883690938464875,0.14883691196354826,2.578899510607968e-09,1.7327016002080193e-08
3,0.04893342938080256,0.048933431941873336,2.561070779061314e-09,5.233785597021874e-08
4,0.022292677517006174,0.022292680193998826,2.6769926518566134e-09,1.2008394459635658e-07
5,0.012165893719735003,0.012165895898338764,2.1786037609355935e-09,1.7907469941164732e-07
6,0.007458459715060566,0.007458463264525582,3.549465016176867e-09,4.7589785985028194e-07
7,0.004966860918098899,0.004966861915656149,9.975572503456709e-10,2.0084259792953754e-07
8,0.0035240959209625225,0.003524099708137317,3.7871747946872925e-09,1.07465145093239e-06
9,0.0026331709670734805,0.002633173438932654,2.471859173510532e-09,9.387385796136774e-07
10,0.002057255290203835,0.0020572572724285023,1.982224667393395e-09,9.635287739116686e-07
11,0.0016736150706181546,0.00167361762499227,2.5543741154383792e-09,1.5262614207309413e-06
12,0.0014145194985748226,0.0014145223977720723,2.8991972496773127e-09,2.049598646465004e-06
13,0.0012409069208668016,0.0012409097151934627,2.794326661118701e-09,2.251842272881193e-06
14,0.0011297514990118171,0.0011297540680086542,2.5689968370917055e-09,2.27394859784544e-06
15,0.0010676845784538278,0.0010676870109157799,2.4324619521311902e-09,2.2782589551436353e-06
16,0.0010477199857901747,0.0010477223811075076,2.395317332936492e-09,2.2862189949826907e-06
17,0.0010676845784538278,0.0010676870109157799,2.4324619521311902e-09,2.2782589551436353e-06
18,0.0011297514990118171,0.0011297540680086542,2.5689968370917055e-09,2.27394859784544e-06
19,0.0012409069208668016,0.0012409097151934627,2.794326661118701e-09,2.251842272881193e-06
20,0.0014145194985748226,0.0014145223977720723,2.8991972496773127e-09,2.049598646465004e-06
21,0.0016736150706181546,0.00167361762499227,2.5543741154383792e-09,1.5262614207309413e-06
22,0.002057255290203835,0.0020572572724285023,1.982224667393395e-09,9.635287739116686e-07
23,0.0026331709670734805,0.002633173438932654,2.471859173510532e-09,9.387385796136774e-07
24,0.0035240959209625225,0.003524099708137317,3.7871747946872925e-09,1.07465145093239e-06
25,0.004966860918098899,0.004966861915656149,9.975572503456709e-10,2.0084259792953754e-07
26,0.007458459715060566,0.007458463264525582,3.549465016176867e-09,4.7589785985028194e-07
27,0.012165893719735003,0.012165895898338764,2.1786037609355935e-09,1.7907469941164732e-07
28,0.022292677517006174,0.022292680193998826,2.6769926518566134e-09,1.2008394459635658e-07
29,0.04893342938080256,0.04893343194187333,2.56107077212242e-09,5.233785582841601e-08
30,0.14883690938464875,0.14883691196354826,2.578899510607968e-09,1.7327016002080193e-08
31,1.0001837038934902,1.0001837064693515,2.5758613020343546e-09,2.575388193196016e-09
