distance,exact,compact,absolute_error,relative_error
1,1.0001528885262265,1.0001528906559707,2.1297441588075117e-09,2.1294185951367817e-09
2,0.14374218949194237,0.14374219162492924,2.1329868704622612e-09,1.4838975794102734e-08
3,0.046296481827638264,0.04629648394240552,2.1147672571442122e-09,4.56787896976165e-08
4,0.02078050335987194,0.020780505592310327,2.23243838692877e-09,1.0742946637374079e-07
5,0.011207548803797603,0.011207550543811721,1.740014118900568e-09,1.5525376238477552e-07
6,0.00680290117638149,0.006802904255943244,3.0795617540421705e-09,4.5268359398397293e-07
7,0.0044909862705279375,0.004490986876739767,6.062118298663655e-10,1.349841200461079e-07
8,0.003161611736286568,0.0031616150428959017,3.306609333564303e-09,1.0458619240349987e-06
9,0.002345563971894756,0.0023455659911762418,2.0192814859446018e-09,8.608938021474717e-07
10,0.0018207007175345294,0.0018207022817496353,1.5642151059667986e-09,8.591280768455749e-07
11,0.001472547478149131,0.0014725495952241183,2.1170749873230393e-09,1.4376955709326435e-06
12,0.0012382396637113315,0.0012382421010522647,2.437340933247878e-09,1.9683919072197407e-06
13,0.0010816737815358792,0.0010816761131196507,2.331583771539303e-09,2.1555332220668825e-06
14,0.0009816417521656916,0.00098164387242421,2.120258518452725e-09,2.1599106942782583e-06
15,0.0009258637268025513,0.0009258657237237904,1.9969212391524396e-09,2.1568198227710684e-06
16,0.0009079345501529255,0.0009079365148144418,1.9646615162646416e-09,2.163880112210433e-06
17,0.0009258637268025513,0.0009258657237237904,1.9969212391524396e-09,2.1568198227710684e-06
18,0.0009816417521656916,0.00098164387242421,2.120258518452725e-09,2.1599106942782583e-06
19,0.0010816737815358792,0.0010816761131196507,2.331583771539303e-09,2.1555332220668825e-06
20,0.0012382396637113315,0.0012382421010522647,2.437340933247878e-09,1.9683919072197407e-06
21,0.001472547478149131,0.0014725495952241183,2.1170749873230393e-09,1.4376955709326435e-06
22,0.0018207007175345294,0.0018207022817496353,1.5642151059667986e-09,8.591280768455749e-07
23,0.002345563971894756,0.0023455659911762418,2.0192814859446018e-09,8.608938021474717e-07
24,0.003161611736286568,0.0031616150428959017,3.306609333564303e-09,1.0458619240349987e-06
25,0.0044909862705279375,0.004490986876739767,6.062118298663655e-10,1.349841200461079e-07
26,0.00680290117638149,0.006802904255943244,3.0795617540421705e-09,4.5268359398397293e-07
27,0.011207548803797603,0.011207550543811721,1.740014118900568e-09,1.5525376238477552e-07
28,0.02078050335987194,0.020780505592310327,2.23243838692877e-09,1.0742946637374079e-07
29,0.046296481827638264,0.04629648394240552,2.1147672571442122e-09,4.56787896976165e-08
30,0.14374218949194237,0.14374219162492924,2.1329868704622612e-09,1.4838975794102734e-08
31,1.0001528885262265,1.000152890655971,2.1297443808521166e-09,2.129418817147444e-09
