block,m2,m4,Qm,chi,Rp,C1
1,0.1452516817526134,0.02515646720227539,0.8386730490541286,609229.7097817134,-0.1975,1.5292857925e6
2,0.14790274538563097,0.02652037353552058,0.8248459269741347,620349.0765819335,-0.1575,1.54375322e6
3,0.17020592024957126,0.03364146738704905,0.8611412503116916,713895.3721264577,0.085,1.663279975e6
4,0.15994797404334749,0.02925138166903711,0.8746032816511914,670870.4273219085,0.0425,1.6270413325e6
5,0.17095756956345554,0.03270280384818156,0.8936998407452723,717048.0178502798,0.175,1.6929614075e6
6,0.1499352807099018,0.02635004127315199,0.8531519236921457,628874.147622664,-0.2125,1.548819195e6
7,0.16437158955151687,0.03192034242550208,0.8464201007476303,689424.4155422854,0.0675,1.6480251825e6
8,0.17383101478662297,0.0341636383501164,0.8844848839597959,729100.1206435919,0.2725,1.6930285975e6
9,0.17251736359879316,0.034370760958433784,0.8659174226334736,723590.2682118725,0.0125,1.67415748e6
10,0.1610951599680885,0.030602314033071364,0.8480290260762161,675682.0738347935,0.0725,1.6193223525e6
11,0.17375902838115906,0.03422223850820392,0.8822391889042157,728798.187775209,0.075,1.687922735e6
12,0.1727685588650428,0.033653380599792,0.8869532391788374,724643.8575218845,0.175,1.70406214e6
13,0.14812552093261275,0.02728248473547721,0.8042218355216874,621283.4649497414,-0.145,1.5413517e6
14,0.16684270559978756,0.03168325942042756,0.8785866391609319,699789.0274680114,0.135,1.650841815e6
15,0.16457990336063688,0.030850417252428524,0.8779960532969564,690298.1469851327,0.1875,1.656994665e6
16,0.16709105591787932,0.03109675817709364,0.897824165745925,700830.6842005849,0.1325,1.67252352e6
17,0.15600709946165864,0.028736306252857093,0.8469500174546628,654341.2013004327,0.035,1.615269705e6
18,0.1580641187925704,0.029554529648980307,0.8453616398707877,662968.9657081532,0.0075,1.605433845e6
19,0.15309388199253304,0.02835403374569958,0.8266103127953851,642122.2816168093,-0.11,1.568570335e6
20,0.16741167501764095,0.03355159812525891,0.835330371673494,702175.4581731915,0.0175,1.6467321475e6
21,0.15729078067085822,0.029004314924910478,0.852989968840796,659725.3505309033,-0.1175,1.605267355e6
22,0.1673555968740294,0.032617729369654076,0.8586709236455865,701940.249391129,0.1125,1.6525713675e6
23,0.16759649145864217,0.032271814548937065,0.8703751041532887,702950.6345109487,0.145,1.6722617275e6
24,0.18110084546536315,0.03658958404716165,0.8963620954530511,759592.0005387545,0.19,1.7268925825e6
25,0.1707779774515899,0.03414901330149986,0.8540544736961635,716294.7539371133,0.045,1.6614096425e6
26,0.15738168391946544,0.029602245000744196,0.836726891244358,660106.6263901496,-0.0625,1.5848899875e6
27,0.1618380177167222,0.03058475301228775,0.8563595059262162,678797.8450613188,-0.0175,1.62308291e6
28,0.15962330011896939,0.030418162750407447,0.8376442111228193,669508.6461821938,-0.0725,1.596140485e6
29,0.17169695519336073,0.033035717580600574,0.8923627691980951,720149.2259553337,0.22,1.700888595e6
30,0.17087581411250427,0.03417308259443168,0.8544310794300091,716705.1106353331,0.185,1.6712111675e6
31,0.16277258697585809,0.03053134161085697,0.8677940002935106,682717.7126431895,-0.02,1.6399444275e6
32,0.13795976408394098,0.024113399258883717,0.7893078989717579,578645.19033633,-0.2375,1.478922615e6
33,0.1606333845334302,0.030966408859350442,0.83326046439103,673745.2472821045,0.0925,1.6177704575e6
34,0.1655287207308339,0.0313257514715336,0.8746719902852184,694277.7754762196,0.17,1.6694256e6
35,0.15444665149425874,0.02870048455259121,0.8311277154251178,647796.2081489754,-0.0025,1.582020395e6
36,0.1587815688335479,0.030525491289650864,0.825919110097673,665978.1692848253,-0.0125,1.5937547975e6
37,0.16334718265140055,0.030822479308219557,0.8656766969759806,685127.7415834999,0.0025,1.64274077e6
38,0.14045931145088275,0.023368350920258497,0.8442537618755447,589129.0518556833,-0.295,1.50893254e6
39,0.15471156042710732,0.02896565663550971,0.8263464291863197,648907.3167456579,-0.0375,1.5852977625e6
40,0.17332931095869525,0.033961438372841324,0.884622426988877,726995.8222712993,0.215,1.68718111e6
41,0.14095815873003117,0.02528400359874328,0.7858408354896866,591221.3689940047,-0.3,1.480835335e6
42,0.1692942964467545,0.03350405672695436,0.8554354788428912,710071.7447638082,0.1075,1.6530022e6
43,0.17305970946322988,0.03318148144824502,0.9026017444764083,725865.0316404629,0.1925,1.6826733475e6
44,0.1766820354260784,0.03475141251535764,0.8982812318350094,741058.1679157424,0.24,1.7145897775e6
45,0.17544111992570607,0.034896021147908865,0.8820371362776538,735853.3910688687,0.2025,1.701582305e6
46,0.1849371166962527,0.037827339552223456,0.9041539145174444,775682.4883075595,0.315,1.7503845e6
47,0.1795593829110777,0.03657848035658038,0.8814355237588989,753126.6379814649,0.245,1.723111005e6
48,0.1653331601402175,0.03169425289556664,0.8624608988897924,693457.5349087549,0.0575,1.6462588525e6
49,0.1734479344309756,0.03393329591868364,0.8865683436841655,727493.3651755786,0.265,1.689668675e6
50,0.15565255191459643,0.02921246830004266,0.8293621979725265,652854.1211055994,-0.0425,1.59955579e6
