L,h,start,seed,tau_m2,tau_m4,tau_S0,tau_Sq,tau_E,block_bins,independent_blocks
12,4.74,ordered,202618501201,5.052205380986323,4.458314264296717,4.78135391564078,5.125708074819772,0.8978288829448771,50,4
12,4.74,ordered,202618501202,15.667707891585,10.869385421382876,12.758881356953522,6.870653668414449,1.3217853882561459,50,4
12,4.74,random,202618501101,8.915910088876354,7.834919749275818,8.632677612616368,7.5610670593519655,1.2466476163311855,50,4
12,4.74,random,202618501102,24.551144729298894,18.101088846372694,23.067261022314774,15.186203018793805,0.9410028006821963,50,4
12,4.76811,ordered,202618502201,4.4157156260791774,3.213707891994207,3.543202595881342,2.2272160181476814,0.927478173610086,20,10
12,4.76811,ordered,202618502202,9.67061340905235,5.602237167017788,7.160292048460218,3.8985778806241678,0.6904349041577988,20,10
12,4.76811,random,202618502101,6.841376248603687,4.84439441483607,6.37667041452381,2.9036542245690606,1.1830554182113309,20,10
12,4.76811,random,202618502102,5.112840523655263,3.473726489509232,5.250994273941835,2.891285113432102,0.8826849120543883,20,10
12,4.8,ordered,202618503201,10.671811889561642,7.752597353522543,10.227152144411056,6.3026825720972335,0.9146078367481895,54,3
12,4.8,ordered,202618503202,12.786610239837387,7.678369410076632,12.272767672239594,9.84832529885536,1.978109060887049,54,3
12,4.8,random,202618503101,26.8267570496537,20.762452679131865,22.949986265355847,16.46766732450778,0.741346387102381,54,3
12,4.8,random,202618503102,9.889520656477082,8.140903477531918,9.335620746774271,5.483205835741136,1.1630499045456961,54,3
24,4.74,ordered,202619701201,16.82205824359243,14.56398786469745,17.135124335689426,14.837524558011193,1.8315937629130803,72,2
24,4.74,ordered,202619701202,12.965741605130095,12.089299370559466,13.080845966107113,14.478536545334798,1.0996833458313482,72,2
24,4.74,random,202619701101,33.96019889095121,24.315269787553174,35.61126766995637,21.83617108152748,0.9987079248224733,72,2
24,4.74,random,202619701102,31.222628394155326,29.201308146332632,27.890626374840505,19.20379288047102,1.1307963194545663,72,2
24,4.76811,ordered,202619702201,21.929716102261022,15.497748464880573,12.128845636844652,5.20672840790834,1.3342557264185197,52,3
24,4.76811,ordered,202619702202,16.270361114132935,12.721446068541495,7.158686699135925,5.8520551910966265,1.0380918894649336,52,3
24,4.76811,random,202619702101,19.370019948720195,14.40538570729896,17.038028098573783,12.673458742780387,1.17015951861182,52,3
24,4.76811,random,202619702102,25.71173885056462,24.307879303815547,25.48374740085196,17.31645283833259,1.303821435569495,52,3
24,4.8,ordered,202619703201,12.225634190834056,9.264091388542747,11.168298973048282,7.309262441482167,1.1978927923380978,72,2
24,4.8,ordered,202619703202,23.170266596932795,18.272949821701133,23.96810285937002,4.508379796992065,0.7072286145991985,72,2
24,4.8,random,202619703101,35.262305652678705,28.65388027437923,35.52765406719192,20.481416319489316,0.8961423524669078,72,2
24,4.8,random,202619703102,22.621993525534588,10.644942249067455,21.522644865499796,6.676571696428408,1.1591053899890988,72,2
48,4.74,ordered,202622101201,37.73231433880392,31.447209416925112,30.64862392927894,7.132070247227414,1.3465025344123664,81,2
48,4.74,ordered,202622101202,15.71139859967146,14.170052626461954,15.3419592058205,14.612600038369939,0.7646009535783674,81,2
48,4.74,random,202622101101,40.13590695076223,37.84984942327043,39.90485016593419,32.011887372420446,0.8153513504759228,81,2
48,4.74,random,202622101102,28.100979538954885,26.618005431522153,28.67809144874884,17.9422655160747,0.8787150495839499,81,2
48,4.76811,ordered,202622102201,15.425995156791242,15.997121094402296,10.652246456529102,16.83046674422976,1.420839679176297,79,2
48,4.76811,ordered,202622102202,22.445258062888502,20.262033762707546,16.98014022622123,18.35463459660535,1.0704363879745276,79,2
48,4.76811,random,202622102101,18.39999428983515,17.385648348402057,17.016382109776043,13.81003792867766,0.8636561311330271,79,2
48,4.76811,random,202622102102,38.69608656765465,35.444390247413295,39.22298351888585,18.09462471610777,0.8074626881278453,79,2
48,4.8,ordered,202622103201,12.568415062574637,10.753595871871951,8.589400565495302,20.330329757662287,1.9907890931516552,71,2
48,4.8,ordered,202622103202,26.27043451517158,19.835964575077632,17.56825522222487,19.672828854624193,1.0807566304451923,71,2
48,4.8,random,202622103101,35.29988793649527,27.20907615047175,34.4563695841641,7.625013512488277,0.8997538858372975,71,2
48,4.8,random,202622103102,20.467524537092846,19.816941848534373,21.02551114744584,7.923235769658198,1.150428238918417,71,2
