run_id,lattice,L,N,Nb,h,beta,c_tau,epsilon,seed,start,bin,n_thermal,n_bins,sweeps_per_bin,line_threads,E,spacetime_m2,spacetime_m4,S0,Sq,equal_m4,q_norm,q_count,acceptance,config_checked,bin_seconds
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,0,1000,200,10,8,-2.2392228009259254,0.07180705638644708,0.005208010591692812,0.08276574397194912,0.011538759300095899,0.01012700110164418,0.6045997880780726,6,0.3415903674902797,1,0.007927311
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,1,1000,200,10,8,-2.2811053240740744,0.06759865589663766,0.004583312518576476,0.08182164815028051,0.008678745470643966,0.010937347353902577,0.6045997880780726,6,0.33932993785337134,1,0.007650294
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,2,1000,200,10,8,-2.272313657407407,0.06606709842224201,0.004466114780799537,0.08159986033454673,0.011184967853518484,0.011717354068370368,0.6045997880780726,6,0.33567002566188897,1,0.007529859
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,3,1000,200,10,8,-2.2969181134259262,0.07987103118248343,0.006500118327418257,0.09579112901126342,0.012498427133912577,0.014741419247508278,0.6045997880780726,6,0.3363970873635672,1,0.008382421
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,4,1000,200,10,8,-2.400525462962963,0.08626350770699719,0.007480063763921373,0.09602978529964899,0.01076823062838272,0.013250772683433882,0.6045997880780726,6,0.3352740352374566,1,0.008763082
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,5,1000,200,10,8,-2.3221941550925926,0.055842931055418286,0.003231880103579405,0.07060921362037016,0.009638823117793113,0.009496230394697486,0.6045997880780726,6,0.34633361660798834,1,0.00979587
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,6,1000,200,10,8,-2.3511944444444444,0.06524080810132749,0.0042973394536005485,0.07908846274716334,0.009098763068498338,0.010033924561725494,0.6045997880780726,6,0.3446510782650836,1,0.00801765
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,7,1000,200,10,8,-2.311570891203704,0.07969613201193058,0.006386302482970836,0.09454822052914162,0.009553693038745292,0.014523822002415716,0.6045997880780726,6,0.3417481709664998,1,0.007683817
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,8,1000,200,10,8,-2.3547355324074077,0.07881096523454718,0.00623512564569678,0.09709907130281184,0.009672214873018904,0.015558177733647757,0.6045997880780726,6,0.34097403781844715,1,0.009511279
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,9,1000,200,10,8,-2.353331307870371,0.08966318063152988,0.00812449257065142,0.11157401864361975,0.010752717416912411,0.020554272313563195,0.6045997880780726,6,0.3432071029590533,1,0.010356958
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,10,1000,200,10,8,-2.354674479166667,0.08077262383307773,0.00661536041993923,0.09853239883648293,0.012493089520287898,0.01661300633023874,0.6045997880780726,6,0.33421664342166435,1,0.00884237
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,11,1000,200,10,8,-2.324880497685185,0.07630889665324153,0.005890809133501114,0.08956753783781088,0.01284165083921725,0.012973499636536717,0.6045997880780726,6,0.3348673229022043,1,0.008459495
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,12,1000,200,10,8,-2.2877601273148147,0.09468500951941705,0.009029646267214038,0.11169621484366907,0.012089793053235102,0.017864605967600714,0.6045997880780726,6,0.33801098230628435,1,0.00764857
tfim-lineupdate-julia-fss-pilot-ctau1-20260730,honeycomb,12,288,432,2.11,5.687203791469194,1.0,1.0,202628501101,random,13,1000,200,10,8,-2.288736979166667,0.10212199324749646,0.010551357821828814,0.11442069642440189,0.01157420539456068,0.017430143716661056,0.6045997880780726,6,0.3362079740032496,1,0.007160459
