block,m2,Rp,C1
1,0.05221957359926568,-0.4194,125774.9802
2,0.049042046442489926,-0.534,120457.1404
3,0.05186172349303731,-0.4184,124985.1352
4,0.052384686600573264,-0.4114,125304.9732
5,0.048691835709371495,-0.553,120073.1126
6,0.051484925885482424,-0.45,123999.6826
7,0.05438937729791404,-0.3372,129241.723
8,0.05178645271558636,-0.4308,124124.9902
9,0.05087259228596072,-0.4694,123644.5682
10,0.052700759102785856,-0.3812,126185.8842
11,0.05179886470189847,-0.4354,124521.253
12,0.05070622957481508,-0.485,122756.2414
13,0.049024570892105046,-0.5372,120278.638
14,0.05305972368994751,-0.3872,126915.4714
15,0.05098308048338204,-0.4622,123832.8134
16,0.04831597354517858,-0.5376,119100.6008
17,0.052450278222461996,-0.3972,125874.6764
18,0.05296952534879983,-0.4086,126220.4358
19,0.0505448544225759,-0.4944,122683.3636
20,0.0514662614543014,-0.4464,124598.1172
