block,m2,m4,Qm,chi,Rp,C1
1,0.38079821890592574,0.17022748784179634,0.8518441137819658,1559.7495046386719,0.02725,2436.73425
2,0.3813365896940231,0.1705933157354335,0.8524225818143438,1561.9546713867187,0.01275,2444.85325
3,0.38945861864089965,0.17702868430509164,0.8567990900970345,1595.222501953125,0.04375,2462.4825
4,0.403266473710537,0.1847880069451651,0.8800562953589787,1651.7794763183595,0.095,2520.10125
5,0.37847889536619184,0.16992722468515906,0.8429860165316023,1550.2495554199218,-0.01375,2418.52325
6,0.3954699190855026,0.18077973404262726,0.8651216228950542,1619.8447885742187,0.0765,2483.491
7,0.4023310998082161,0.18554374349785063,0.8724105206746777,1647.948184814453,0.141,2512.08875
8,0.38131466472148895,0.1712845483073065,0.8488849401102643,1561.8648666992187,-0.01675,2431.4725
9,0.38678120183944703,0.17434681521257267,0.8580581062749403,1584.255802734375,0.018,2454.5
10,0.37401499211788175,0.1665116915289852,0.8401044577977189,1531.9654077148436,-0.0365,2403.564
11,0.3878163611292839,0.1745384352906932,0.8617100852833125,1588.495815185547,0.03725,2455.9025
12,0.3954322361946106,0.18034416032189637,0.8670458369307407,1619.690439453125,0.04825,2485.00175
13,0.3889886862039566,0.17648908130646832,0.8573459438656765,1593.2976586914062,0.04125,2461.6775
14,0.38558745259046556,0.17429494949967256,0.8530234755625197,1579.366205810547,0.02175,2450.39625
15,0.3910021902322769,0.17837328153191295,0.8570942433387101,1601.5449711914061,0.075,2465.575
16,0.3987840007543564,0.18295618476595402,0.8692172908015509,1633.4192670898437,0.09425,2499.39675
17,0.397569822371006,0.18221769016419712,0.867433691633799,1628.4459924316407,0.08525,2490.32475
18,0.3769808802008629,0.1701504802875624,0.8352288150867216,1544.1136853027344,-0.04225,2423.49375
19,0.40118495166301726,0.18412099208412977,0.874150001143354,1643.2535620117187,0.066,2506.49425
20,0.37520535773038866,0.16693687865707812,0.8433071326245257,1536.841145263672,-0.0415,2401.61725
21,0.3749369887113571,0.1663027321056521,0.8453123031955441,1535.7419057617187,-0.0165,2418.2535
22,0.3867553768157959,0.17612887926900622,0.8492628926995629,1584.1500234375,0.04775,2456.535
23,0.3978906319141388,0.18053090579475878,0.8769520889958832,1629.7600283203126,0.096,2498.53575
24,0.3874542662501335,0.17490457030104473,0.8583012335071765,1587.0126745605469,0.0215,2456.671
25,0.3887521252632141,0.17568664339608234,0.8602145955737223,1592.328705078125,0.02875,2462.777
26,0.3842810539007187,0.17209383485572258,0.8580895911282936,1574.0151967773438,0.0465,2442.3845
27,0.38034120452404024,0.1707526553364523,0.8471870119604277,1557.8775737304688,-0.0005,2433.851
28,0.3884145057201385,0.1755942154505376,0.8591731103825359,1590.9458154296874,0.038,2458.96175
29,0.3808007760643959,0.16979696182367393,0.8540154634912218,1559.7599787597655,0.00675,2440.545
30,0.3833352600932121,0.17401882307607416,0.8444254422206477,1570.1412253417968,0.00325,2433.5955
31,0.37699158680438993,0.1674470074519963,0.8487619975056022,1544.1575395507812,-0.01675,2429.2975
32,0.39266378647089006,0.178279377376998,0.8648496055694102,1608.3508693847657,0.0585,2476.1635
33,0.38829945611953737,0.17524109993317233,0.8603944376075401,1590.474572265625,0.032,2459.4165
34,0.373213361620903,0.1655756442046298,0.8412361248024676,1528.6819291992188,-0.0795,2399.99525
35,0.37525632977485657,0.16721637178456347,0.842126351225469,1537.0499267578125,-0.038,2416.16925
36,0.3871815758347511,0.17436512674664856,0.8597451535346216,1585.8957346191405,0.0595,2461.979
37,0.3751076816916466,0.16697405828780534,0.8426804397456384,1536.4410642089845,-0.02675,2418.8365
38,0.38486761116981505,0.1739541728825638,0.8515063230334672,1576.4177353515624,0.0235,2445.9305
39,0.3880347562432289,0.1757918378004544,0.8565299386861116,1589.3903615722656,0.06525,2459.44525
40,0.3820920015573502,0.1726520209731519,0.8455985445823702,1565.0488383789063,-0.00425,2427.97725
41,0.39047863173484804,0.1770984825097164,0.8609535196505916,1599.4004755859376,0.0605,2466.99975
42,0.3924920226931572,0.17838265427330843,0.8635928672848349,1607.6473249511719,0.062,2473.39125
43,0.3775608461499214,0.16946300269350564,0.8411994965253126,1546.489225830078,-0.02075,2424.30375
44,0.3804025260210037,0.16908725694173332,0.8558071401739367,1558.1287465820312,-0.048,2426.3375
45,0.38720083636045455,0.1741125731525833,0.8610778932481193,1585.9746257324218,0.02725,2456.552
46,0.38348646092414856,0.1729273378611093,0.8504257772720977,1570.7605439453125,0.0005,2442.912
47,0.381735458791256,0.1709730635938228,0.8523094658042706,1563.5884392089845,0.00525,2441.23675
48,0.39813679414987563,0.18264302781625735,0.8678837005232287,1630.7683088378906,0.093,2499.45125
49,0.371036383330822,0.16433526904596504,0.8377264269224554,1519.765026123047,-0.076,2389.31525
50,0.4010111311078072,0.18521472187460164,0.8682351253980672,1642.5415930175782,0.091,2501.70775
