block,m2,Rp,C1
1,0.058250811437613945,-0.136,967193.431
2,0.052308662340745965,-0.306,901657.479
3,0.05842338550735144,-0.162,959647.673
4,0.051162527886117685,-0.299,890907.613
5,0.05637091587980149,-0.09,951746.815
6,0.05360124773724442,-0.217,929686.901
7,0.056744366256499236,-0.126,956664.632
8,0.050693466744744,-0.336,886330.707
9,0.05813922338835573,-0.043,964905.107
10,0.05920591817042737,-0.04,976418.71
11,0.05334618010724921,-0.191,917443.729
12,0.06408400158617861,0.141,1.028534915e6
13,0.046205398083500084,-0.497,838681.626
14,0.05498322225995139,-0.174,928844.61
15,0.054992816686912194,-0.193,927721.829
16,0.05086787820088057,-0.374,893459.038
17,0.05193339791577205,-0.292,898666.92
18,0.05240299042305856,-0.25,910184.764
19,0.057856383200232814,-0.088,962833.196
20,0.05269429590958407,-0.303,902873.059
